SiteID,Index,LON,LAT,ACSP,AISP,EphSP,PleSP,TriSP,ChiSP,otherSP,Emerg,Units,Notes,Stream width (m),Basin size (km2),figure_table,ele_mean,r_mean,k_mean,bd_mean,cf_mean,ph05_mean,ph15_mean,lit_majority,min_mean,HYBAS_ID,crop,forest.c,forest.o,nodata,shrub.grass,urban,water,tmp_dc_smx,pre_mm_syr,slp_dg_uav,ero_kh_uav,run_mm_syr,ppd_pk_uav,tmp_dc_syr,ele_mt_sav,dis_m3_pyr,for_pc_sse,crp_pc_sse,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09
Al-Zankana_2021_Control_2015,,-0.909979,52.476865,3452.4,811,55.6,,,728.7,26.7,,mg DM m-2 y-1,"River Welland, control reach, 2015 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,104.5941723,374.124363,0.029083215,1.342218673,36.4078125,67.83703704,67.18518519,9,,2121109130,77.67,0.16,5.48,0,6.77,9.92,0,168,631,22,834,319,137.5350037,94,115,2.874000072,0,67,251,281,224,258
Al-Zankana_2021_Control_2016,,-0.909979,52.476865,3056.3,846.4,76.1,,,748.3,22,,mg DM m-2 y-1,"River Welland, control reach, 2016 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,104.5941723,374.124363,0.029083215,1.342218673,36.4078125,67.83703704,67.18518519,9,,2121109130,77.67,0.16,5.48,0,6.77,9.92,0,168,631,22,834,319,137.5350037,94,115,2.874000072,0,67,251,281,224,258
Al-Zankana_2021_Ref_2015,,-0.972636,52.473637,11234.8,3574.9,2315,,,386.7,873.2,,mg DM m-2 y-1,"River Welland, reference reach, 2015 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,121.2453231,381.9605637,0.029109607,1.334861093,38.02083333,66.76923077,66.04895105,12,,2121110490,76.49,0.56,5.77,0,10.97,6.22,0,165,644,14,585,336,210.0939941,93,132,2.602999926,0,61,293,293,272,272
Al-Zankana_2021_Ref_2016,,-0.972636,52.473637,11562.1,4155.3,2653.1,,,418.8,1083.4,,mg DM m-2 y-1,"River Welland, reference reach, 2016 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,121.2453231,381.9605637,0.029109607,1.334861093,38.02083333,66.76923077,66.04895105,12,,2121110490,76.49,0.56,5.77,0,10.97,6.22,0,165,644,14,585,336,210.0939941,93,132,2.602999926,0,61,293,293,272,272
Anderson_Rosemond_2007_MejillonesBeaverPond,,-67.655,-55.076,12589,,,,,,,,mg AFDM m-2 yr-1,Measures beaver impact.,29.6,,"Table 3, Appendix 3",332.0220126,635.8678432,,1.187583339,21.43333321,57.86754967,58.43046358,12,,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0
Anderson_Rosemond_2007_MejillonesDownstream,,-67.655,-55.076,2704,,,,,,,,mg AFDM m-2 yr-1,Measures beaver impact.,6.6,,"Table 3, Appendix 3",332.0220126,635.8678432,,1.187583339,21.43333321,57.86754967,58.43046358,12,,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0
Anderson_Rosemond_2007_MejillonesForested,,-67.655,-55.076,2456,,,,,,,,mg AFDM m-2 yr-1,Forested site.,6.6,,"Table 3, Appendix 3",332.0220126,635.8678432,,1.187583339,21.43333321,57.86754967,58.43046358,12,,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0
Anderson_Rosemond_2007_RobaloBeaverPond,159,-67.655,-55.076,7530,,,,,,,,mg AFDM m-2 yr-1,Measures beaver impact.,29.6,,"Table 3, Appendix 3",332.0220126,635.8678432,,1.187583339,21.43333321,57.86754967,58.43046358,12,,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0
Anderson_Rosemond_2007_RobaloDownstream,160,-67.655,-55.076,5627,,,,,,,,mg AFDM m-2 yr-1,Measures beaver impact.,6.6,,"Table 3, Appendix 3",332.0220126,635.8678432,,1.187583339,21.43333321,57.86754967,58.43046358,12,,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0
Anderson_Rosemond_2007_RobaloForested,158,-67.655,-55.076,2263,,,,,,,,mg AFDM m-2 yr-1,Forested site.,6.6,,"Table 3, Appendix 3",332.0220126,635.8678432,,1.187583339,21.43333321,57.86754967,58.43046358,12,,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0
Baekken_EtAl_1976_Ekso_Station1,,6.235,60.829,3483,,,,,,,,mg DM m-2 yr-1,Downstream of weir basin. Other sites in paper are included with the Fjellheim et al. data.,28,,Table 2,931.2571332,2081.530061,0.027074519,1.302131283,9.078125,51.91160221,52.3480663,4,,2120224160,0,0.94,2.08,0,96.64,0,0.33,97,2566,170,10269,2210,7.967000008,23,856,9.862999916,21,0,52,52,50,50
Baekken_EtAl_1976_Ekso_Station4,,6.242,60.827,2176,,,,,,,,mg DM m-2 yr-1,Within weir basin. Other sites in paper are included with the Fjellheim et al. data.,28,,Table 2,948.2506831,2075.326925,0.027183061,1.309692731,8.856770833,51.91847826,52.33695652,4,,2120224160,0,0.89,1.96,0,96.89,0,0.26,97,2566,170,10269,2210,7.967000008,23,856,9.862999916,21,0,52,52,50,50
Benke_EtAl_1984_SatillaRiver_Lower,1,-81.86,31.13,15660,12766,54,44,1180,9072,,,mg DM m-2 yr-1,"Applied habitat proportions from the text for snag:sand:mud habitat from pp50. Data are also available for Odonata, Coleoptera, and Oligochaeta. Width data probably an underestimate; likely excludes backwater """"mud"""" habitat. Says basin size """"more than double[s]"""" from upper to lower site.",70,,"Tables 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15",19.6875,6308.947588,0.011888112,1.426666975,18,48.7047619,49.26666667,5,,7120740920,0,83,7.56,0,9.42,0.01,0,274,1306,6,169,339,6.03399992,196,12,1.488999963,100,2,56,56,62,62
