SiteID,author,year
Al-Zankana_2021_Control_2015,Al-Zankana (2021),2021
Al-Zankana_2021_Control_2016,Al-Zankana (2021),2021
Al-Zankana_2021_Ref_2015,Al-Zankana (2021),2021
Al-Zankana_2021_Ref_2016,Al-Zankana (2021),2021
Anderson_Rosemond_2007_MejillonesBeaverPond,Anderson and Rosemond (2007),2007
Anderson_Rosemond_2007_MejillonesDownstream,Anderson and Rosemond (2007),2007
Anderson_Rosemond_2007_MejillonesForested,Anderson and Rosemond (2007),2007
Anderson_Rosemond_2007_RobaloBeaverPond,Anderson and Rosemond (2007),2007
Anderson_Rosemond_2007_RobaloDownstream,Anderson and Rosemond (2007),2007
Anderson_Rosemond_2007_RobaloForested,Anderson and Rosemond (2007),2007
Benke_Wallace_2015_OgeecheeRiver_1982,Benke and Wallace (2015),2015
Benke_EtAl_1984_SatillaRiver_Lower,Benke et al. (1984),1984
Benke_EtAl_1984_SatillaRiver_Upper,Benke et al. (1984),1984
Beracko_Revajová_2019,Beracko and Revajová (2019),2019
Böttger_1975_Kalengo,Böttger (1975),1975
Bright_1982_Outcrop,Bright (1982),1982
Bright_1982_Riffle,Bright (1982),1982
Buffagni_2001,Buffagni (2001),2001
Carlisle_Clements_2003_HighZinc_Snake,Carlisle and Clements (2003),2003
Carlisle_Clements_2003_IntermediateZinc_Mosquito,Carlisle and Clements (2003),2003
Carlisle_Clements_2003_LowZinc_Buckskin,Carlisle and Clements (2003),2003
Carlisle_Clements_2003_Reference1_EastFork,Carlisle and Clements (2003),2003
Carlisle_Clements_2003_Reference2_FourMile,Carlisle and Clements (2003),2003
Chadwick_Huryn_2005_EBB_Yr1,Chadwick and Huryn (2005),2005
Chadwick_Huryn_2005_EBB_Yr2,Chadwick and Huryn (2005),2005
Chadwick_Huryn_2005_WBB_N_Yr1,Chadwick and Huryn (2005),2005
Chadwick_Huryn_2005_WBB_N_Yr2,Chadwick and Huryn (2005),2005
Chadwick_Huryn_2007_BB,Chawick and Huryn (2007),2007
Chadwick_Huryn_2007_ED,Chawick and Huryn (2007),2007
Chadwick_Huryn_2007_EU,Chawick and Huryn (2007),2007
Chadwick_Huryn_2007_SWP,Chawick and Huryn (2007),2007
Chadwick_Huryn_2007_WD,Chawick and Huryn (2007),2007
Chadwick_Huryn_2007_WU,Chawick and Huryn (2007),2007
Colon-Gaud_EtAl_2009_ElCope_Site1,Colon-Gaud et al. (2009),2009
Colon-Gaud_EtAl_2009_ElCope_Site2,Colon-Gaud et al. (2009),2009
Colon-Gaud_EtAl_2009_Fortuna_Site1,Colon-Gaud et al. (2009),2009
Colon-Gaud_EtAl_2009_Fortuna_Site2,Colon-Gaud et al. (2009),2009
Consoli_2023,Consoli (2023),2023
Cross_EtAl_2006_C53_Reference,Cross et al. (2006),2006
Cross_EtAl_2011_Site1_GlenCanyon_Yr1,Cross et al. (2011),2011
Cross_EtAl_2013_ColoradoRiver_Site2,Cross et al. (2013),2013
Cross_EtAl_2013_ColoradoRiver_Site3,Cross et al. (2013),2013
Cross_EtAl_2013_ColoradoRiver_Site4,Cross et al. (2013),2013
Cross_EtAl_2013_ColoradoRiver_Site5,Cross et al. (2013),2013
Cross_EtAl_2013_ColoradoRiver_Site6,Cross et al. (2013),2013
Crowther_1981_FortMckay,Crowther (1981),1981
Demi_2018,Demi (2018),2018
Dolph_EtAl_2015_Buffalo Creek_restored,Dolph et al. (2015),2015
Dolph_EtAl_2015_Buffalo Creek_up,Dolph et al. (2015),2015
Dolph_EtAl_2015_Elm Creek_restored,Dolph et al. (2015),2015
Dolph_EtAl_2015_Elm Creek_up,Dolph et al. (2015),2015
Dolph_EtAl_2015_Rush River_restored,Dolph et al. (2015),2015
Dolph_EtAl_2015_Rush River_up,Dolph et al. (2015),2015
Dudgeon_1999,Dudgeon (1999),1999
Dunkle_EtAl_2024_Alaska_glacierfed,Dunkle et al. (2024),2024
Dunkle_EtAl_2024_Alaska_rainfed,Dunkle et al. (2024),2024
Dunkle_EtAl_2024_Alaska_snowmelt,Dunkle et al. (2024),2024
Dunkle_EtAl_2024_Alaska_transition,Dunkle et al. (2024),2024
Edwards_EtAl_1989_Detroit_MainChannel,Edwards et al. (1989),1989
Edwards_EtAl_1989_StClaire_MainChannel,Edwards et al. (1989),1989
Edwards_EtAl_1989_StLawrence_MainChannel,Edwards et al. (1989),1989
Ely_Wallace_2010_BigHurricaneBranch_Disturbed,Ely and Wallace (2010),2010
Ely_Wallace_2010_HughWhiteCreek_Reference,Ely and Wallace (2010),2010
Entrekin_EtAl_2009_ShaneCreek_AfterWood_yr1,Entekin et al. (2009),2009
Entrekin_EtAl_2009_ShaneCreek_AfterWood_yr2,Entekin et al. (2009),2009
Entrekin_EtAl_2009_ShaneCreek_AfterWood_yr3,Entekin et al. (2009),2009
Entrekin_EtAl_2009_StateCreek_AfterWood_yr1,Entekin et al. (2009),2009
