pub_number,pub_name,chemical,chemical_category,organisms,study_type,water_units,water_conc,water_conc_measure_type,water_conc_error_lower_limit,water_conc_upper_limit,water_conc_error_measure,water_conc_sample_size,sediment_units,sediment_conc,sediment_conc_measure_type,sediment_conc_error_lower_limit,sediment_conc_upper_limit,sediment_conc_error_measure,sediment_conc_sample_size,adult_units,adult_conc,adult_conc_measure_type,adult_conc_error_lower_limit,adult_conc_upper_limit,adult_conc_error_measure,adult_conc_sample_size,emergence_mgdm_m2_y,contaminant_flux_mg_m2_y,comments,coordinates,coord,latitude,longitude,comments_from_ralf,,,,,,,,,,,,,,,,,,
5,"Bundschuh, M., D. Englert, R.R. Rosenfeldt, R. Bundschuh, A. Feckler, S. Luderwald, F. Seitz, J.P. Zubrod, et al. 2019. Nanoparticles transported from aquatic to terrestrial ecosystems via emerging aquatic insects compromise subsidy quality. Scientific Reports 9: 8.",TiO2 (NP),other metals,Chaetopteryx villosa (Trichoptera),experimental,ugl,373.52,mean,61.23,,standard deviation,9,,,,,,,,ng_mg_dm,2.68,median,0.47,9.44,range,4,,,,49.19828° N,8.11215° O,,,,,,,,,,,,,,,,,,,,,
5,"Bundschuh, M., D. Englert, R.R. Rosenfeldt, R. Bundschuh, A. Feckler, S. Luderwald, F. Seitz, J.P. Zubrod, et al. 2019. Nanoparticles transported from aquatic to terrestrial ecosystems via emerging aquatic insects compromise subsidy quality. Scientific Reports 9: 8.",Au (NP),other metals,Chaetopteryx villosa (Trichoptera),experimental,ugl,6.48,mean,1.15,,standard deviation,9,,,,,,,,ng_mg_dm,1.51,median,<3.6,15.33,range,4,,,,49.19828° N,8.11215° O,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Zn,Zn,Anax (Odonata) ,field,ugl,30.5,mean,15.5,96.6,range,36,,,,,,,,ng_mg_dm,79.8333333,mean,1.23367198,,standard deviation,59,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Zn,Zn,Erythemis (Odonata) ,field,ugl,30.5,mean,15.5,96.6,range,36,,,,,,,,ng_mg_dm,148,mean,6.63521173,,standard deviation,59,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Zn,Zn,Libellula (Odonata) ,field,ugl,30.5,mean,15.5,96.6,range,36,,,,,,,,ng_mg_dm,117.666667,mean,5.78836734,,standard deviation,11,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Zn,Zn,Pachydiplax (Odonata) ,field,ugl,30.5,mean,15.5,96.6,range,36,,,,,,,,ng_mg_dm,110,mean,3.31307527,,standard deviation,55,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Zn,Zn,Plathemis (Odonata) ,field,ugl,30.5,mean,15.5,96.6,range,36,,,,,,,,ng_mg_dm,121,mean,11.872792,,standard deviation,60,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Zn,Zn,Tramea (Odonata) ,field,ugl,30.5,mean,15.5,96.6,range,36,,,,,,,,ng_mg_dm,109.333333,mean,3.89059399,,standard deviation,13,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Cu,Cu,Anax (Odonata) ,field,ugl,23.8,mean,10.8,127.2,range,36,,,,,,,,ng_mg_dm,17.2333333,mean,0.89541989,,standard deviation,59,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Cu,Cu,Erythemis (Odonata) ,field,ugl,23.8,mean,10.8,127.2,range,36,,,,,,,,ng_mg_dm,58.3333333,mean,3.45262672,,standard deviation,59,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
