pub_number,pub_name,chemical,chemical_category,organisms,study_type,water_units,water_conc,water_conc_measure_type,water_conc_error_lower_limit,water_conc_upper_limit,water_conc_error_measure,water_conc_sample_size,sediment_units,sediment_conc,sediment_conc_measure_type,sediment_conc_error_lower_limit,sediment_conc_upper_limit,sediment_conc_error_measure,sediment_conc_sample_size,adult_units,adult_conc,adult_conc_measure_type,adult_conc_error_lower_limit,adult_conc_upper_limit,adult_conc_error_measure,adult_conc_sample_size,emergence_mgdm_m2_y,contaminant_flux_mg_m2_y,comments,coordinates,coord,latitude,longitude,comments_from_ralf,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,18.1,one value given,,,,,,,"The Yenisei River, Siberia, Russia Gladyshev et al. (2009)",60.8167,89.7883,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,11.9,one value given,,,,,,,"Lake Oiskoie, Russia, Borisova et al. (2016)",52.8421,93.245,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,16,median,,,,,,,"Lake Mindelsee, Germany,  Martin-Creuzburg et al. (2017)",47.753993,9.022372,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,10.1,one value given,,,,,,,"Lake Shira, Russia, Makhutova et al. (2017)",54.50834,90.205846,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Ephemeroptera,review,,,,,,,,,,,,,,,mg_g_dm,11.3,one value given,,,,,,,"Lake Oiskoie, Russia, Our data",52.8421,93.245,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Plecoptera,review,,,,,,,,,,,,,,,mg_g_dm,11.4,one value given,,,,,,,"The Yenisei River & Lake Oiskoie, Russia, Our data",60.8167,89.7883,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Trichoptera,review,,,,,,,,,,,,,,,mg_g_dm,9.4,one value given,,,,,,,"The Yenisei River, Russia, Our data",60.8167,89.7883,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Odonata,review,,,,,,,,,,,,,,,mg_g_dm,7.98,one value given,,,,,,,"Wetlands & pools Gladyshev et al. (2011a), Chany Expeditionary Station of the Institute of Animal Systematics and Ecology, Siberian Branch, RussianAcademy of Sciences, in the central part of Barabinsk forest–steppe (54°32'–54°39' N, 78°06'–78°19' E)",54.5515,77.995,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Culicidae,review,,,,,,,,,,,,,,,mg_g_dm,7.96,one value given,,,,,,,"Wetlands & pools Gladyshev et al. (2011b), Chany Expeditionary Station",54.5515,77.995,,,,,,,,,,,,,,,,,,,,,
pufa1,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,PUFA,Chaoboridae,review,,,,,,,,,,,,,,,mg_g_dm,33.7,one value given,,,,,,,"Lake Mindelsee, Germany, Martin-Creuzburg et al. (2017)",47.753993,9.022372,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Odonata,review,,,,,,,,,,,,,,,mg_g_dm,8.27,one value given,,,,,,,"Chany Research Station, Russia, Popova ON, Haritonov AY, Sushchik NN, Makhutova ON, Kalachova GS, Kolmakova AA, Gladyshev MI. Export of aquatic productivity, including highly unsaturated fatty acids, to terrestrial ecosystems via Odonata. Science of the Total Environment. 2017 Mar 1;581:40-8.",54.5515,77.995,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Trichoptera,review,,,,,,,,,,,,,,,mg_g_dm,11.6,one value given,,,,,,,"Yenisei River, Sushchik NN, Gladyshev MI, Moskvichova AV, Makhutova ON, Kalachova GS. Comparison of fatty acid composition in major lipid classes of the dominant benthic invertebrates of the Yenisei river. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology. 2003 Jan 1;134(1):111-22.",60.8167,89.7883,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Ephemeroptera,review,,,,,,,,,,,,,,,mg_g_dm,12.8,one value given,,,,,,,"Yenisei River, Sushchik NN, Gladyshev MI, Moskvichova AV, Makhutova ON, Kalachova GS. Comparison of fatty acid composition in major lipid classes of the dominant benthic invertebrates of the Yenisei river. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology. 2003 Jan 1;134(1):111-22.",60.8167,89.7883,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,7.7,one value given,,,,,,,"Yenisei River, Sushchik NN, Gladyshev MI, Moskvichova AV, Makhutova ON, Kalachova GS. Comparison of fatty acid composition in major lipid classes of the dominant benthic invertebrates of the Yenisei river. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology. 2003 Jan 1;134(1):111-22.",60.8167,89.7883,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Culicidae,review,,,,,,,,,,,,,,,mg_g_dm,6.77,one value given,,,,,,,"I think from Chany Research Station, Russia, Sushchik NN, Yurchenko YA, Gladyshev MI, Belevich OE, Kalachova GS, Kolmakova AA. Comparison of fatty acid contents and composition in major lipid classes of larvae and adults of mosquitoes (Diptera: Culicidae) from a steppe region. Insect Science. 2013 Oct;20(5):585-600.",54.5515,77.995,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,4,one value given,,,,,,,"Lake Erken, Sweden, Goedkoop W, Sonesten L, Ahlgren G, Boberg M. Fatty acids in profundal benthic invertebrates and their major food resources in Lake Erken, Sweden: seasonal variation and trophic indications. Canadian Journal of Fisheries and Aquatic Sciences. 2000 Nov 1;57(11):2267-79.",59.8446,18.5926,,,,,,,,,,,,,,,,,,,,,
pufa2,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,PUFA,Chironomidae,review,,,,,,,,,,,,,,,mg_g_dm,7,one value given,,,,,,,"Lake Erken, Sweden, Goedkoop W, Sonesten L, Ahlgren G, Boberg M. Fatty acids in profundal benthic invertebrates and their major food resources in Lake Erken, Sweden: seasonal variation and trophic indications. Canadian Journal of Fisheries and Aquatic Sciences. 2000 Nov 1;57(11):2267-79.",59.8446,18.5926,,,,,,,,,,,,,,,,,,,,,
pufa3,"Fehlinger L, Mathieu-Resuge M, Pilecky M, Parmar TP, Twining CW, Martin-Creuzburg D, Kainz MJ. Export of dietary lipids via emergent insects from eutrophic fishponds. Hydrobiologia. 2023 Sep;850(15):3241-56.",ALA,PUFA,Chironomidae,field,,,,,,,,,,,,,,,mg_g_dm,6.2,arithmetic mean,,,,,,,mean of means across months,48.815988,15.27992,,,,,,,,,,,,,,,,,,,,,
pufa3,"Fehlinger L, Mathieu-Resuge M, Pilecky M, Parmar TP, Twining CW, Martin-Creuzburg D, Kainz MJ. Export of dietary lipids via emergent insects from eutrophic fishponds. Hydrobiologia. 2023 Sep;850(15):3241-56.",DHA,PUFA,Chironomidae,field,,,,,,,,,,,,,,,mg_g_dm,0.044,arithmetic mean,,,,,,,mean of means across months,48.815988,15.27992,,,,,,,,,,,,,,,,,,,,,
pufa3,"Fehlinger L, Mathieu-Resuge M, Pilecky M, Parmar TP, Twining CW, Martin-Creuzburg D, Kainz MJ. Export of dietary lipids via emergent insects from eutrophic fishponds. Hydrobiologia. 2023 Sep;850(15):3241-56.",EPA,PUFA,Chironomidae,field,,,,,,,,,,,,,,,mg_g_dm,4.68,arithmetic mean,,,,,,,mean of means across months,48.815988,15.27992,,,,,,,,,,,,,,,,,,,,,
pufa4,Kowarik et al. 2023 Stream degradation,EPA,PUFA,Eph + Dipt + Plec,field,,,,,,,,,,,,,,,mg_g_dm,38,one value given,8,,SE,,,,,47.44451,9.15415,,,sumarized value for the 3 groups,,,,,,,,,,,,,,,,,,
pufa4,Kowarik et al. 2023 Stream degradation,EPA,PUFA,Eph + Dipt + Plec,field,,,,,,,,,,,,,,,mg_g_dm,48,one value given,7,,SE,,,,,47.34819,9.13006,,,sumarized value for the 3 groups,,,,,,,,,,,,,,,,,,
pufa4,Kowarik et al. 2023 Stream degradation,EPA,PUFA,Eph + Dipt + Plec,field,,,,,,,,,,,,,,,mg dw_m-2_yr-1,41,arithmetic mean,15,,SE,,,,,47.44451,9.15415,,,,,,,,,,,,,,,,,,,,,
pufa4,Kowarik et al. 2023 Stream degradation,EPA,PUFA,Eph + Dipt + Plec,field,,,,,,,,,,,,,,,mg dw_m-2_yr-1,32,arithmetic mean,15,,SE,,,,,47.34819,9.13006,,,,,,,,,,,,,,,,,,,,,
pufa5,Mathieu-Resuge et al. 2021 Taxonomic composition....,EPA + ARA,PUFA,Adult aquatic insects,field,,,,,,,,,,,,,,,mg_g_dm,28.5,arithmetic mean,0.4,,SE,,,,,47.853611,15.053056,,,Concentration of EPA given as mg FA methyl esters g-1; mean ± SE,,,,,,,,,,,,,,,,,,
pufa5,Mathieu-Resuge et al. 2022 dietary availability determines....,EPA + ARA,PUFA,Adult aquatic insects,field,,,,,,,,,,,,,,,mg_g_dm,41.6,arithmetic mean,0.72,,SE,,,,,47.827222,15.075556,,,,,,,,,,,,,,,,,,,,,
pufa5,Mathieu-Resuge et al. 2022 dietary availability determines....,EPA + ARA,PUFA,Adult aquatic insects,field,,,,,,,,,,,,,,,mg_g_dm,34.8,,,,,,,,,47.804722,15.074722,,,,,,,,,,,,,,,,,,,,,
pufa6,Parmar et al. 2022 Fatty acid composition...,EPA + DHA,PUFA,Adult aquatic insects,field,,,,,,,,,,,,,,,mg_g_dm,10.2,arithmetic mean,13.8,,?,,,,,47.754,9.022,,,Mindelsee,,,,,,,,,,,,,,,,,,
pufa7,Silina et al. Emergence of Amphibious Insects from an Old Beaver Pond... 2023,EPA + DHA,PUFA,Potamophylax sp.,field,,,,,,,,,,,,,,,mg_g_dm,3.07,arithmetic mean,0.26,,SE,,,,,52.82599,44.42208,,,,,,,,,,,,,,,,,,,,,
pufa7,Silina et al. Emergence of Amphibious Insects from an Old Beaver Pond... 2024,EPA + DHA,PUFA,Gomphus vulgatissimus,field,,,,,,,,,,,,,,,mg_g_dm,9.65,arithmetic mean,1.49,,SE,,,,,52.82599,44.42208,,,,,,,,,,,,,,,,,,,,,
pufa7,Silina et al. Emergence of Amphibious Insects from an Old Beaver Pond... 2025,EPA + DHA,PUFA,Coenagrion puella,field,,,,,,,,,,,,,,,mg_g_dm,14.11,arithmetic mean,0.95,,SE,,,,,52.82599,44.42208,,,,,,,,,,,,,,,,,,,,,
pufa7,Silina et al. Emergence of Amphibious Insects from an Old Beaver Pond... 2026,EPA + DHA,PUFA,Cloeon dipterum,field,,,,,,,,,,,,,,,mg_g_dm,15.94,arithmetic mean,1.22,,SE,,,,,52.82599,44.42208,,,,,,,,,,,,,,,,,,,,,
