SiteID,pub_number,coordinates,coord,pub_name,chemical,organisms,order,r_mean,k_mean,bd_mean,cf_mean,ph05_mean,ph15_mean,lit_majority,min_mean,HYBAS_ID,crop,forest.c,forest.o,shrub.grass,urban,water,tmp_dc_smx,pre_mm_syr,slp_dg_uav,ero_kh_uav,run_mm_syr,ppd_pk_uav,tmp_dc_syr,ele_mt_sav,dis_m3_pyr,for_pc_sse,crp_pc_sse,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09
PUFA_1,pufa9,13.9734,99.968,"Maneechan et al. Nutritional Compositions of Aquatic Insects Living in Rice Fields, with a Particular Focus on Odonate Larvae",,Odonata (Pantala),Odonata,7582.724869,0.02667908,1.382856965,20.5714283,62.01098901,62.91208791,5,,4121123840,73.01,0.26,7.69,0.11,18.86,0.08,303,1201,0,7361,349,456.4719849,276,9,2.135999918,0,47,221,221,260,260
PUFA_10,pufa5,47.827222,15.075556,Mathieu-Resuge et al. 2022 dietary availability determines....,EPA + ARA,Adult aquatic insects,Multiple,827.0991344,0.028829357,1.312349571,31.18518575,53.76119403,53.88059701,12,,2121157520,0.9,62.36,17.5,18.28,0.15,0.81,149,1052,194,749,769,15.55099964,52,922,7.388999939,99,3,70,76,95,107
PUFA_11,pufa5,47.853611,15.053056,Mathieu-Resuge et al. 2021 Taxonomic composition....,EPA + ARA,Adult aquatic insects,Multiple,808.6254057,0.028278037,1.307511356,30.3703715,55.36567164,55.46268657,12,,2120478240,2.33,75.61,12.49,8.35,0.41,0.81,174,866,114,639,677,58.80500031,75,510,3.747999907,91,21,133,133,116,116
PUFA_12,pufa3,48.815988,15.27992,"Fehlinger L, Mathieu-Resuge M, Pilecky M, Parmar TP, Twining CW, Martin-Creuzburg D, Kainz MJ. Export of dietary lipids via emergent insects from eutrophic fishponds. Hydrobiologia. 2023 Sep;850(15):3241-56.",ALA,Chironomidae,Diptera,515.0459094,0.034796978,1.394062546,21.32118056,60.62962963,61.21481481,4,,2120458750,74.15,8.6,8.74,0.46,7.64,0.4,170,714,29,633,161,40.76800156,74,523,3.368000031,20,53,149,152,123,136
PUFA_12,pufa3,48.815988,15.27992,"Fehlinger L, Mathieu-Resuge M, Pilecky M, Parmar TP, Twining CW, Martin-Creuzburg D, Kainz MJ. Export of dietary lipids via emergent insects from eutrophic fishponds. Hydrobiologia. 2023 Sep;850(15):3241-56.",DHA,Chironomidae,Diptera,515.0459094,0.034796978,1.394062546,21.32118056,60.62962963,61.21481481,4,,2120458750,74.15,8.6,8.74,0.46,7.64,0.4,170,714,29,633,161,40.76800156,74,523,3.368000031,20,53,149,152,123,136
PUFA_12,pufa3,48.815988,15.27992,"Fehlinger L, Mathieu-Resuge M, Pilecky M, Parmar TP, Twining CW, Martin-Creuzburg D, Kainz MJ. Export of dietary lipids via emergent insects from eutrophic fishponds. Hydrobiologia. 2023 Sep;850(15):3241-56.",EPA,Chironomidae,Diptera,515.0459094,0.034796978,1.394062546,21.32118056,60.62962963,61.21481481,4,,2120458750,74.15,8.6,8.74,0.46,7.64,0.4,170,714,29,633,161,40.76800156,74,523,3.368000031,20,53,149,152,123,136
PUFA_13,pufa13,49.20419,8.1099,Arias et al. Multiple stressors across ecosystem boundaries: do light pollution and invasive species change the quality of aquatic subsidies to terrestrial predators?,EPA + PUFA,Chironomidae,Diptera,418.6853626,0.033677082,1.317125003,21.83773147,70.25,69.39814815,9,,2120446310,61.58,0.84,11.97,4.89,20.72,0,187,690,28,488,288,189.8200073,98,175,1.281999946,14,50,256,256,239,239
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Potamophylax�sp.,Trichoptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Gomphus vulgatissimus,Odonata,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Coenagrion puella,Odonata,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Cloeon dipterum,Ephemeroptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Heptagenia flava,Ephemeroptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Chironomus�sp.,Diptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Chaoborus flavicans,Diptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Ephemeroptera,Ephemeroptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Odonata,Odonata,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Trichoptera,Trichoptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_14,pufa7,52.82599,44.42208,Silina et al. 2023. Emergence of Amphibious Insects from an Old Beaver Pond,EPA + DHA,Diptera,Diptera,219.1166363,0.029625107,1.230000019,44,63.25675676,63.72297297,12,,2120359930,70.6,10.73,11.97,6.7,0,0,200,520,10,328,113,16.80999947,48,184,4.008999825,0,75,155,139,158,141
PUFA_15,pufa1,52.8421,93.245,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,Chironomidae,Diptera,729.8773775,0.03217881,1.356427014,11.896875,53.4137931,53.68275862,9,,3120623380,0,53.96,16.25,29.17,0,0.62,154,942,158,875,695,1.205000043,-39,1094,3.203999996,94,0,12,12,12,12
PUFA_15,pufa1,52.8421,93.245,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,Ephemeroptera,Ephemeroptera,729.8773775,0.03217881,1.356427014,11.896875,53.4137931,53.68275862,9,,3120623380,0,53.96,16.25,29.17,0,0.62,154,942,158,875,695,1.205000043,-39,1094,3.203999996,94,0,12,12,12,12
PUFA_16,pufa1,54.50834,90.205846,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,Chironomidae,Diptera,300.5441646,0.031407629,1.317206395,24.38889389,68.60674157,69.03370787,12,,3120589610,12.32,6.14,0.48,40.17,0.51,40.37,181,447,35,471,91,4.140999794,1,520,0.331,1,0,78,78,45,45
PUFA_17,pufa1,54.5515,77.995,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,Odonata,Odonata,210.258292,0.035264678,1.31682536,22.23266196,67.94117647,69.82352941,9,,3120586920,0.34,0.28,1.63,8.29,0,89.45,196,338,3,66,3,3.130000114,7,102,22.66399956,2,33,55,90,63,101
PUFA_17,pufa1,54.5515,77.995,"Gladyshev MI, Gladysheva EE, Sushchik NN. Preliminary estimation of the export of omega-3 polyunsaturated fatty acids from aquatic to terrestrial ecosystems in biomes via emergent insects. Ecological Complexity. 2019 Apr 1;38:140-5.",EPA + DHA,Culicidae,Diptera,210.258292,0.035264678,1.31682536,22.23266196,67.94117647,69.82352941,9,,3120586920,0.34,0.28,1.63,8.29,0,89.45,196,338,3,66,3,3.130000114,7,102,22.66399956,2,33,55,90,63,101
PUFA_17,pufa2,54.5515,77.995,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,Odonata,Odonata,210.258292,0.035264678,1.31682536,22.23266196,67.94117647,69.82352941,9,,3120586920,0.34,0.28,1.63,8.29,0,89.45,196,338,3,66,3,3.130000114,7,102,22.66399956,2,33,55,90,63,101
PUFA_17,pufa2,54.5515,77.995,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,Culicidae,Diptera,210.258292,0.035264678,1.31682536,22.23266196,67.94117647,69.82352941,9,,3120586920,0.34,0.28,1.63,8.29,0,89.45,196,338,3,66,3,3.130000114,7,102,22.66399956,2,33,55,90,63,101
PUFA_18,pufa8,57.360725,93.25872,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,Thricoptera,Trichoptera,239.4114861,0.035203815,1.32487489,21.425,56.32,56.6,4,,3120502890,0,85.9,2.66,0.93,0,10.51,181,461,25,11,46,1.856999993,-9,194,2.717999935,99,0,28,33,25,30
PUFA_18,pufa8,57.360725,93.25872,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,Ephemeroptera,Ephemeroptera,239.4114861,0.035203815,1.32487489,21.425,56.32,56.6,4,,3120502890,0,85.9,2.66,0.93,0,10.51,181,461,25,11,46,1.856999993,-9,194,2.717999935,99,0,28,33,25,30
PUFA_18,pufa8,57.360725,93.25872,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,Diamesa,Diptera,239.4114861,0.035203815,1.32487489,21.425,56.32,56.6,4,,3120502890,0,85.9,2.66,0.93,0,10.51,181,461,25,11,46,1.856999993,-9,194,2.717999935,99,0,28,33,25,30
PUFA_19,pufa2,59.8446,18.5926,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,Chironomidae,Diptera,332.75263,0.023611569,1.166666985,20.33333206,52.34532374,54.97841727,3,,2120234770,19.35,52.14,7.73,0.02,0.04,20.72,168,534,17,40,280,10.32600021,59,34,1.026000023,90,17,94,94,94,94
PUFA_19,pufa2,59.8446,18.5926,Moyo S. Preliminary estimations of insect mediated transfers of mercury and physiologically important fatty acids from water to land. Biomolecules. 2020 Jan 13;10(1):129.,EPA + DHA,Chironomidae,Diptera,332.75263,0.023611569,1.166666985,20.33333206,52.34532374,54.97841727,3,,2120234770,19.35,52.14,7.73,0.02,0.04,20.72,168,534,17,40,280,10.32600021,59,34,1.026000023,90,17,94,94,94,94
PUFA_2,pufa11,41.274217,-73.746217,Torres-Ruiz_et al. Complementary information from fatty acid and nutrient stoichiometry data improve stream food web analyses,EPA + DHA,Hydropsyche,Trichoptera,2979.177258,0.031412514,1.312321476,20.82142857,50.63461538,51.55769231,4,,7120512210,2.34,73.89,11.91,0.21,5.84,5.8,225,1205,51,705,776,238.5,101,140,25.12999916,88,2,329,299,333,312
