"Join_Count","TARGET_FID","id","lat","lon","Join_Cou_1","TARGET_F_1","HYBAS_ID","NEXT_DOWN","NEXT_SINK","MAIN_BAS","DIST_SINK","DIST_MAIN","SUB_AREA","UP_AREA","PFAF_ID","ENDO","COAST","ORDER_","SORT","dis_m3_pyr","dis_m3_pmn","dis_m3_pmx","run_mm_syr","inu_pc_smn","inu_pc_umn","inu_pc_smx","inu_pc_umx","inu_pc_slt","inu_pc_ult","lka_pc_sse","lka_pc_use","lkv_mc_usu","rev_mc_usu","dor_pc_pva","ria_ha_ssu","ria_ha_usu","riv_tc_ssu","riv_tc_usu","gwt_cm_sav","ele_mt_sav","ele_mt_uav","ele_mt_smn","ele_mt_smx","slp_dg_sav","slp_dg_uav","sgr_dk_sav","clz_cl_smj","cls_cl_smj","tmp_dc_syr","tmp_dc_uyr","tmp_dc_smn","tmp_dc_smx","tmp_dc_s01","tmp_dc_s02","tmp_dc_s03","tmp_dc_s04","tmp_dc_s05","tmp_dc_s06","tmp_dc_s07","tmp_dc_s08","tmp_dc_s09","tmp_dc_s10","tmp_dc_s11","tmp_dc_s12","pre_mm_syr","pre_mm_uyr","pre_mm_s01","pre_mm_s02","pre_mm_s03","pre_mm_s04","pre_mm_s05","pre_mm_s06","pre_mm_s07","pre_mm_s08","pre_mm_s09","pre_mm_s10","pre_mm_s11","pre_mm_s12","pet_mm_syr","pet_mm_uyr","pet_mm_s01","pet_mm_s02","pet_mm_s03","pet_mm_s04","pet_mm_s05","pet_mm_s06","pet_mm_s07","pet_mm_s08","pet_mm_s09","pet_mm_s10","pet_mm_s11","pet_mm_s12","aet_mm_syr","aet_mm_uyr","aet_mm_s01","aet_mm_s02","aet_mm_s03","aet_mm_s04","aet_mm_s05","aet_mm_s06","aet_mm_s07","aet_mm_s08","aet_mm_s09","aet_mm_s10","aet_mm_s11","aet_mm_s12","ari_ix_sav","ari_ix_uav","cmi_ix_syr","cmi_ix_uyr","cmi_ix_s01","cmi_ix_s02","cmi_ix_s03","cmi_ix_s04","cmi_ix_s05","cmi_ix_s06","cmi_ix_s07","cmi_ix_s08","cmi_ix_s09","cmi_ix_s10","cmi_ix_s11","cmi_ix_s12","snw_pc_syr","snw_pc_uyr","snw_pc_smx","snw_pc_s01","snw_pc_s02","snw_pc_s03","snw_pc_s04","snw_pc_s05","snw_pc_s06","snw_pc_s07","snw_pc_s08","snw_pc_s09","snw_pc_s10","snw_pc_s11","snw_pc_s12","glc_cl_smj","glc_pc_s01","glc_pc_s02","glc_pc_s03","glc_pc_s04","glc_pc_s05","glc_pc_s06","glc_pc_s07","glc_pc_s08","glc_pc_s09","glc_pc_s10","glc_pc_s11","glc_pc_s12","glc_pc_s13","glc_pc_s14","glc_pc_s15","glc_pc_s16","glc_pc_s17","glc_pc_s18","glc_pc_s19","glc_pc_s20","glc_pc_s21","glc_pc_s22","glc_pc_u01","glc_pc_u02","glc_pc_u03","glc_pc_u04","glc_pc_u05","glc_pc_u06","glc_pc_u07","glc_pc_u08","glc_pc_u09","glc_pc_u10","glc_pc_u11","glc_pc_u12","glc_pc_u13","glc_pc_u14","glc_pc_u15","glc_pc_u16","glc_pc_u17","glc_pc_u18","glc_pc_u19","glc_pc_u20","glc_pc_u21","glc_pc_u22","pnv_cl_smj","pnv_pc_s01","pnv_pc_s02","pnv_pc_s03","pnv_pc_s04","pnv_pc_s05","pnv_pc_s06","pnv_pc_s07","pnv_pc_s08","pnv_pc_s09","pnv_pc_s10","pnv_pc_s11","pnv_pc_s12","pnv_pc_s13","pnv_pc_s14","pnv_pc_s15","pnv_pc_u01","pnv_pc_u02","pnv_pc_u03","pnv_pc_u04","pnv_pc_u05","pnv_pc_u06","pnv_pc_u07","pnv_pc_u08","pnv_pc_u09","pnv_pc_u10","pnv_pc_u11","pnv_pc_u12","pnv_pc_u13","pnv_pc_u14","pnv_pc_u15","wet_cl_smj","wet_pc_sg1","wet_pc_ug1","wet_pc_sg2","wet_pc_ug2","wet_pc_s01","wet_pc_s02","wet_pc_s03","wet_pc_s04","wet_pc_s05","wet_pc_s06","wet_pc_s07","wet_pc_s08","wet_pc_s09","wet_pc_u01","wet_pc_u02","wet_pc_u03","wet_pc_u04","wet_pc_u05","wet_pc_u06","wet_pc_u07","wet_pc_u08","wet_pc_u09","for_pc_sse","for_pc_use","crp_pc_sse","crp_pc_use","pst_pc_sse","pst_pc_use","ire_pc_sse","ire_pc_use","gla_pc_sse","gla_pc_use","prm_pc_sse","prm_pc_use","pac_pc_sse","pac_pc_use","tbi_cl_smj","tec_cl_smj","fmh_cl_smj","fec_cl_smj","cly_pc_sav","cly_pc_uav","slt_pc_sav","slt_pc_uav","snd_pc_sav","snd_pc_uav","soc_th_sav","soc_th_uav","swc_pc_syr","swc_pc_uyr","swc_pc_s01","swc_pc_s02","swc_pc_s03","swc_pc_s04","swc_pc_s05","swc_pc_s06","swc_pc_s07","swc_pc_s08","swc_pc_s09","swc_pc_s10","swc_pc_s11","swc_pc_s12","lit_cl_smj","kar_pc_sse","kar_pc_use","ero_kh_sav","ero_kh_uav","pop_ct_ssu","pop_ct_usu","ppd_pk_sav","ppd_pk_uav","urb_pc_sse","urb_pc_use","nli_ix_sav","nli_ix_uav","rdd_mk_sav","rdd_mk_uav","hft_ix_s93","hft_ix_u93","hft_ix_s09","hft_ix_u09","gad_id_smj","gdp_ud_sav","gdp_ud_ssu","gdp_ud_usu","hdi_ix_sav","BAS_ID","BAS_Class","BA_km2","obRSSA_km2","mnRSSA_pc","sdRSSA_pc","rayRSSA_pc","difRSSA_pc","Shape_Leng","Shape_Area"
4,915008,1,31.13,-81.86,1,0,7120740120,7120742950,7120043740,7120043740,84.8,84.8,207.7,7384.2,732550417000,0,0,1,915008,80.954,56.151,134.162,349,0,0,7,1,40,13,0,1,12,0,0,137.801,1433.64,2338.86,10633.1,38,21,57,9,34,5,5,11,14,90,194,189,105,272,105,121,156,191,228,258,272,269,249,202,155,118,1309,1244,95,100,106,75,101,148,171,178,121,69,63,83,1460,1479,61,72,113,145,175,177,182,164,131,106,74,60,1107,1052,51,66,103,116,119,117,128,126,103,79,53,46,90,84,-10,-16,35,28,-6,-48,-42,-16,-6,8,-7,-35,-14,27,1,0,3,2,1,0,1,0,0,0,0,0,0,0,3,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,4,0,0,41,0,0,0,0,0,1,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,38,36,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,54,3,26,0,3,0,5,0,0,0,0,0,2,8,399,8,156,16,18,29,32,55,51,43,28,77,73,84,91,91,82,69,66,69,75,79,76,73,76,1,100,100,191,1605,3.228,149.779,16.028,20.875,0,1,501,800,188,300,59,92,66,88,240,45580,170975000,7346720000,921,7000043640,"B",37488.9,82.4504388614,0.396234633829,0.0750870742524,0.499548414326,-0.103313780497,0.767286800264,0.0196354564613
2,915029,2,31.28,-82.36,1,1,7121156920,7120737830,7120043740,7120043740,165.9,165.9,147.7,3218.9,732550453200,0,0,1,915029,34.184,21.941,58.251,370,0,0,0,0,22,7,2,1,6,0,0,36.273,531.915,349.264,2943.03,24,44,67,26,53,5,6,16,14,90,193,189,102,275,102,120,155,190,229,261,275,271,249,198,152,113,1261,1242,112,99,114,69,83,135,159,167,104,67,67,83,1499,1470,61,72,114,148,180,184,190,171,137,109,75,60,1067,1050,50,66,104,118,117,112,121,118,96,72,49,42,84,85,-16,-15,46,27,1,-53,-54,-27,-16,-2,-24,-38,-10,28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,34,0,0,0,0,0,0,0,0,26,0,0,12,0,0,0,0,0,28,0,1,0,56,0,0,0,0,0,0,0,0,4,0,0,38,0,0,0,0,0,1,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,38,31,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,56,22,27,5,4,3,6,0,0,0,0,0,1,8,399,8,156,18,18,30,32,52,50,27,26,73,73,82,90,92,82,67,61,63,68,70,67,66,71,1,100,100,809,1801,27.69,84.192,188.386,26.87,23,2,4627,900,2982,397,308,103,291,96,240,45580,1238270000,3911020000,921,7000043740,"C",8872.68,0,0.495506826327,0.0658485435992,0.781035992137,-0.28552916581,0.53568377782,0.0139651363519
2,859146,3,39.57,-105.86,1,2,7120550370,7121076000,7120008710,7120008710,2140.7,2140.7,241.8,241.8,772809042000,0,0,5,859146,1.377,0.373,5.066,154,0,0,0,0,3,3,11,11,0,0,0,26.445,26.445,71.199,71.199,744,3347,3347,2751,4265,172,172,312,6,20,-9,-9,-108,107,-108,-98,-76,-33,21,73,107,97,59,7,-60,-99,654,654,52,48,63,66,58,45,65,64,46,40,51,56,697,697,11,16,30,52,84,113,130,111,76,45,19,11,484,484,8,13,26,46,71,83,84,66,43,25,12,7,99,99,-5,-5,76,63,46,17,-28,-58,-48,-40,-37,-9,57,77,52,52,98,96,98,94,85,43,5,1,1,5,29,75,91,4,0,0,0,96,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96,96,0,0,5,5,0,0,0,0,20,20,8,8,5,353,4,130,11,11,35,35,54,54,71,71,75,75,84,88,90,91,87,77,67,61,59,60,65,75,8,51,51,4257,4257,4.3,4.3,18.806,18.806,0,0,1796,1800,298,297,110,110,123,123,240,55481,305538000,305538000,951,7000008710,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394,0.852503887412,0.0253805665323
2,938145,4,39.27,-106.07,1,3,7121080490,7121081370,7120047060,7120047060,4117.3,4117.3,152.2,152.2,742946999330,0,0,3,938145,0.389,0.093,1.521,97,1,1,1,1,16,16,2,2,2,0,0,11.674,11.674,20.04,20.04,692,3569,3569,3093,4314,152,152,273,6,27,-19,-19,-115,98,-115,-108,-89,-46,10,63,98,87,51,-1,-67,-106,668,668,53,49,64,63,54,44,70,70,49,41,52,58,644,644,10,14,26,46,77,105,122,104,71,42,18,10,480,480,8,12,24,43,68,82,84,67,45,26,12,7,108,108,2,2,79,69,55,22,-27,-57,-41,-31,-30,-1,62,81,47,47,99,97,99,85,73,28,3,0,1,6,19,60,95,4,0,0,0,82,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,1,1,11,11,1,1,0,0,27,27,5,5,5,353,7,143,11,11,35,35,55,55,60,60,80,80,87,91,94,94,91,81,71,66,64,65,71,79,9,100,100,6774,6773,1.077,1.077,7.092,7.093,0,0,436,400,72,71,26,26,36,36,240,55481,56131700,56131700,951,7000008710,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394,0.572676366163,0.0159131627726
2,938145,5,39.28,-106.07,1,4,7121080490,7121081370,7120047060,7120047060,4117.3,4117.3,152.2,152.2,742946999330,0,0,3,938145,0.389,0.093,1.521,97,1,1,1,1,16,16,2,2,2,0,0,11.674,11.674,20.04,20.04,692,3569,3569,3093,4314,152,152,273,6,27,-19,-19,-115,98,-115,-108,-89,-46,10,63,98,87,51,-1,-67,-106,668,668,53,49,64,63,54,44,70,70,49,41,52,58,644,644,10,14,26,46,77,105,122,104,71,42,18,10,480,480,8,12,24,43,68,82,84,67,45,26,12,7,108,108,2,2,79,69,55,22,-27,-57,-41,-31,-30,-1,62,81,47,47,99,97,99,85,73,28,3,0,1,6,19,60,95,4,0,0,0,82,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,1,1,11,11,1,1,0,0,27,27,5,5,5,353,7,143,11,11,35,35,55,55,60,60,80,80,87,91,94,94,91,81,71,66,64,65,71,79,9,100,100,6774,6773,1.077,1.077,7.092,7.093,0,0,436,400,72,71,26,26,36,36,240,55481,56131700,56131700,951,7000008710,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394,0.572676366163,0.0159131627726
2,933409,6,39.35,-106.21,1,5,7120558930,7120560100,7120047060,7120047060,3197.8,3197.8,146.1,146.3,742499999300,0,0,2,933409,0.388,0.082,1.526,107,0,0,0,0,1,1,0,0,0,0,0,12.199,12.199,24.107,24.107,613,3497,3497,2990,4155,153,153,289,6,20,-14,-14,-112,102,-112,-104,-85,-41,15,69,102,92,56,5,-63,-101,631,630,52,47,60,58,50,41,66,66,47,39,49,56,668,668,11,15,27,48,79,108,126,107,73,43,19,11,478,478,8,13,25,44,69,82,83,65,43,26,12,7,98,98,-5,-5,78,66,50,14,-34,-61,-47,-37,-35,-8,59,79,55,55,100,100,100,99,93,51,4,0,1,6,29,82,99,4,0,0,0,90,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,90,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,18,18,8,8,0,0,24,24,3,3,5,353,6,144,10,10,35,35,55,55,64,64,77,77,85,90,93,93,89,78,68,62,60,61,66,75,9,21,21,5883,5882,1.31,1.31,8.94,8.945,0,0,1182,1200,247,247,85,85,99,99,240,55481,62535600,62535600,951,7000008710,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394,0.600017811241,0.0152694760406
1,938021,7,39.2,-106.08,1,6,7120564150,7120564410,7120047060,7120047060,4083.7,4083.7,197.7,197.7,742946998200,0,0,5,938021,0.34,0.096,1.28,67,2,2,2,2,9,8,0,0,0,0,0,18.027,18.027,37.687,37.687,425,3067,3067,2720,4205,57,57,155,7,37,6,6,-102,125,-102,-90,-61,-14,41,93,125,115,76,23,-48,-93,452,452,27,26,36,37,38,36,61,62,38,29,29,31,814,814,14,19,37,62,98,131,148,126,88,54,24,13,375,375,7,11,21,36,53,61,62,52,35,21,10,6,59,59,-42,-42,32,9,-9,-37,-59,-71,-58,-49,-55,-43,5,43,28,28,84,84,72,52,21,5,0,0,0,1,6,25,67,4,0,0,0,39,0,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,41,0,0,27,0,17,0,0,0,0,0,0,0,0,14,41,0,0,27,0,17,0,0,0,10,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,5,5,16,16,7,7,0,0,5,5,11,11,5,353,7,143,12,12,30,30,58,58,43,43,51,51,57,60,62,61,57,50,44,42,42,42,44,49,9,78,78,1722,1721,0.67,0.67,3.384,3.383,0,0,153,200,95,94,22,22,34,34,240,55481,41198000,41198000,951,7000047060,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195,0.994016615422,0.0206136539382
5,909959,8,44.89,-68.13,1,7,7121018530,7120423920,7120038630,7120038630,40.3,40.3,184.3,184.3,731110760320,0,0,1,909959,4.639,3.445,7.502,819,1,1,3,3,4,4,10,10,4,0,0,34.137,34.137,111.496,111.496,186,148,148,74,385,27,27,42,7,48,56,56,-85,189,-85,-75,-19,44,105,159,189,181,133,77,20,-56,1179,1179,97,87,91,97,99,86,88,84,98,99,131,121,842,842,11,16,37,68,115,142,153,131,86,49,22,12,687,687,11,16,37,68,109,119,111,86,58,38,21,12,140,140,29,29,89,82,59,30,-14,-40,-43,-36,13,51,83,90,36,36,94,93,94,80,13,2,1,1,0,1,13,49,84,6,0,29,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,87,10,0,0,3,0,0,0,0,0,0,0,0,0,0,87,10,0,0,3,0,0,0,0,0,0,0,11,39,39,38,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,97,2,2,0,0,0,0,0,0,0,0,0,0,4,338,5,118,7,7,33,33,60,60,85,85,88,88,100,100,100,100,96,86,74,66,68,78,92,100,9,0,0,185,185,0.025,0.025,0.146,0.146,0,0,34,0,47,47,10,10,10,10,240,48224,1173560,1173560,925,7000038570,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682,0.77972417383,0.0210533066065
5,909959,9,44.89,-68.13,1,8,7121018530,7120423920,7120038630,7120038630,40.3,40.3,184.3,184.3,731110760320,0,0,1,909959,4.639,3.445,7.502,819,1,1,3,3,4,4,10,10,4,0,0,34.137,34.137,111.496,111.496,186,148,148,74,385,27,27,42,7,48,56,56,-85,189,-85,-75,-19,44,105,159,189,181,133,77,20,-56,1179,1179,97,87,91,97,99,86,88,84,98,99,131,121,842,842,11,16,37,68,115,142,153,131,86,49,22,12,687,687,11,16,37,68,109,119,111,86,58,38,21,12,140,140,29,29,89,82,59,30,-14,-40,-43,-36,13,51,83,90,36,36,94,93,94,80,13,2,1,1,0,1,13,49,84,6,0,29,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,87,10,0,0,3,0,0,0,0,0,0,0,0,0,0,87,10,0,0,3,0,0,0,0,0,0,0,11,39,39,38,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,97,2,2,0,0,0,0,0,0,0,0,0,0,4,338,5,118,7,7,33,33,60,60,85,85,88,88,100,100,100,100,96,86,74,66,68,78,92,100,9,0,0,185,185,0.025,0.025,0.146,0.146,0,0,34,0,47,47,10,10,10,10,240,48224,1173560,1173560,925,7000038570,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682,0.77972417383,0.0210533066065
5,909959,10,44.88,-68.14,1,9,7121018530,7120423920,7120038630,7120038630,40.3,40.3,184.3,184.3,731110760320,0,0,1,909959,4.639,3.445,7.502,819,1,1,3,3,4,4,10,10,4,0,0,34.137,34.137,111.496,111.496,186,148,148,74,385,27,27,42,7,48,56,56,-85,189,-85,-75,-19,44,105,159,189,181,133,77,20,-56,1179,1179,97,87,91,97,99,86,88,84,98,99,131,121,842,842,11,16,37,68,115,142,153,131,86,49,22,12,687,687,11,16,37,68,109,119,111,86,58,38,21,12,140,140,29,29,89,82,59,30,-14,-40,-43,-36,13,51,83,90,36,36,94,93,94,80,13,2,1,1,0,1,13,49,84,6,0,29,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,87,10,0,0,3,0,0,0,0,0,0,0,0,0,0,87,10,0,0,3,0,0,0,0,0,0,0,11,39,39,38,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,97,2,2,0,0,0,0,0,0,0,0,0,0,4,338,5,118,7,7,33,33,60,60,85,85,88,88,100,100,100,100,96,86,74,66,68,78,92,100,9,0,0,185,185,0.025,0.025,0.146,0.146,0,0,34,0,47,47,10,10,10,10,240,48224,1173560,1173560,925,7000038570,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682,0.77972417383,0.0210533066065
