INDEX,SiteID,Production,Biomass,Density,Discharge,ChannelWidth,WaterTemperature,pH,Conductivity,CPOM,Longitude,Latitude,ElevationCatch,Slope,StreamOrder,AreaWater,SedimentAverage,SedimentHierarchical,Bioclimate1,Bioclimate12,ESA_LandCover,EcoReg_DomainNo,EcoReg_Domain,EcoReg_DivisionNo,EcoReg_Division,EcoReg_ProvinceNo,EcoReg_Province
1,Benke_EtAl_1984_SatillaRiver_Downstream,9.606,6.078,9.866,11.376,3.689,2.944,1.629,3.804,NA,3.667,3.438,3.091,-3.963,5,9.121,-0.981,-0.981,3.674,7.178,70,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
2,Benke_EtAl_1984_SatillaRiver_Upstream,10.229,5.875,10.698,10.708,3.401,2.944,1.629,3.804,NA,3.654,3.443,3.584,-3.963,5,9.121,-0.981,-0.981,3.671,7.132,90,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
3,Benke_Wallace_2015_OgeecheeRiver_1982,10.892,7.767,10.431,11.035,3.497,2.963,1.872,4.605,NA,3.679,3.47,2.708,-3.932,6,9.568,-0.981,-0.981,3.664,7.116,180,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
4,Carlisle_Clements_2003_HighZinc_Snake,3.56,3.258,6.759,5.288,1.571,1.099,1.902,4.762,NA,2.717,3.678,8.156,3.892,2,3.367,5.075,5.075,2.912,6.568,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
5,Carlisle_Clements_2003_IntermediateZinc_Mosquito,7.345,5.911,9.102,6.059,1.376,1.194,2.067,5.298,NA,2.703,3.67,8.069,3.892,3,3.472,5.075,5.075,3.001,6.244,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
6,Carlisle_Clements_2003_LowZinc_Buckskin,7.631,6.159,8.474,5.598,1.426,1.03,2.054,5.13,NA,2.703,3.671,8.069,4.06,2,3.096,5.075,5.075,3.001,6.244,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
7,Carlisle_Clements_2003_Reference1_EastFork,8.301,6.827,10.054,5.124,1.273,1.253,2.001,4.779,NA,2.694,3.672,8.159,3.85,1,3.44,5.075,5.075,2.918,6.449,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
8,Carlisle_Clements_2003_Reference2_FourMile,8.453,6.876,9.644,5.485,1.351,0.993,2.079,5.468,NA,2.703,3.669,8.067,3.611,1,3.148,5.075,5.075,3.006,6.215,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
9,Chadwick_Huryn_2005_EBB_Yr1,7.428,6.016,8.161,1.386,NA,NA,NA,NA,NA,3.968,3.804,4.942,NA,1,-2.303,NA,NA,3.246,7.072,70,100,POLAR,130,SUBARCTIC,133,EASTERN_OCEANIC_TAYGA
10,Chadwick_Huryn_2005_EBB_Yr2,7.728,6.174,8.476,1.386,NA,NA,NA,NA,NA,3.968,3.804,4.942,NA,1,-2.303,NA,NA,3.246,7.072,70,100,POLAR,130,SUBARCTIC,133,EASTERN_OCEANIC_TAYGA
11,Chadwick_Huryn_2005_WBB_N_Yr1,7.411,5.94,8.006,1.386,NA,NA,NA,NA,NA,3.968,3.804,4.942,NA,1,-2.303,NA,NA,3.246,7.072,61,100,POLAR,130,SUBARCTIC,133,EASTERN_OCEANIC_TAYGA
12,Chadwick_Huryn_2005_WBB_N_Yr2,7.733,6.174,8.319,1.386,NA,NA,NA,NA,NA,3.968,3.804,4.942,NA,1,-2.303,NA,NA,3.246,7.072,61,100,POLAR,130,SUBARCTIC,133,EASTERN_OCEANIC_TAYGA
13,Chadwick_Huryn_2007_BB,7.601,6.122,7.949,NA,NA,NA,NA,NA,NA,3.968,3.804,4.796,1.609,2,-2.303,NA,NA,3.25,7.069,61,100,POLAR,130,SUBARCTIC,133,EASTERN_OCEANIC_TAYGA
