chemical,chemical_category,adult_conc_ng_mg_dm,water_conc_ug_l,sediment_conc_ug_g
thg,Hg,107,5,5
zn,Zn,106,104,1
cu,Cu,101,99,1
pb,Pb,96,86,5
mehg,Hg,95,27,7
cd,Cd,89,86,2
se,Se,37,37,2
epa + dha,PUFA,29,NA,NA
hg,Hg,8,2,7
epa,PUFA,7,NA,NA
pcb,PCB,7,2,5
azoxystrobin,fungicide,5,5,NA
boscalid,fungicide,5,5,1
fluopyram,fungicide,5,5,NA
mehg (insect)-thg (water),Hg,5,5,NA
propyzamide,herbicide,5,5,NA
trifloxystrobin,fungicide,5,5,NA
1h-benzotriazole,EDC,4,4,NA
azithromycin,pharmaceuticals,4,4,NA
bisphenol-a,EDC,4,4,NA
ca,other metals,4,NA,4
caffeine,caffeine,4,4,NA
ethylparaben,EDC,4,4,NA
ketoprofen,pharmaceuticals,4,4,NA
methylparaben,EDC,4,4,NA
tebuconazole,fungicide,4,4,1
thiacloprid,insecticide,4,4,NA
triclosan,EDC,4,4,NA
ur,other metals,1,4,4
carbamazepine,pharmaceuticals,2,3,NA
cyflufenamid,fungicide,3,3,NA
napropamide,herbicide,3,3,NA
propylparaben,EDC,3,3,NA
thiabendazole,pharmaceuticals,3,3,NA
tilmicosin,pharmaceuticals,3,3,NA
tris(1-chloro-2propyl)phosphat,EDC,3,3,NA
tris(2butoxyethyl)phosphate,EDC,3,3,NA
tris(2carboxyethyl)phosphine,EDC,3,3,NA
?24 pfass,PFAS,2,2,NA
acetamiprid,insecticide,2,2,NA
atrazine,herbicide,2,2,NA
au (np),other metals,2,2,NA
bfr,BFR,2,2,NA
clothianidin,insecticide,2,2,NA
cr,other metals,2,NA,1
dimethoate,insecticide,2,2,NA
fluopicolide,fungicide,2,2,NA
hop,HOP,2,2,NA
imidacloprid,insecticide,2,2,NA
metalaxyl,fungicide,2,2,1
metalochlor,herbicide,2,2,NA
metrafenone,fungicide,2,2,2
pbde,PBDE,2,2,NA
pirimicarb,insecticide,2,2,NA
prosulfocarb,herbicide,2,2,NA
pyraclostrobin,fungicide,2,2,NA
terbuthylazine,herbicide,2,2,1
?7 pcbs,PCB,1,NA,1
ala,PUFA,1,NA,NA
anthracene,PAH,1,NA,1
as,other metals,1,NA,NA
benzo(a)anthracene,PAH,1,NA,1
benzo(a)pyrene,PAH,1,NA,1
benzo(ghi)pyrene,PAH,1,NA,1
bifenthrin,insecticide,1,1,NA
chlordane,insecticide,1,1,NA
dha,PUFA,1,NA,NA
dimethenamid,herbicide,1,1,NA
fluoranthene,PAH,1,NA,1
"indeno(1,2,3,c,d)pyrene",PAH,1,NA,1
metamitron,herbicide,1,1,NA
metobromuron,herbicide,1,1,NA
metolachlor,herbicide,1,1,NA
mn,other metals,1,NA,NA
ni,other metals,1,NA,NA
"p,p′-DDD",insecticide,1,1,NA
pcb101,PCB,1,NA,1
pcb118,PCB,1,NA,1
pcb138,PCB,1,NA,1
pcb153,PCB,1,NA,1
pcb180,PCB,1,NA,1
pcb28,PCB,1,NA,1
pcb52,PCB,1,NA,1
phenanthrene,PAH,1,NA,1
ppb propylparaben,EDC,1,1,NA
pyrene,PAH,1,NA,1
salicylic acid,pharmaceuticals,1,1,NA
tbep tris(2-butoxyethyl)phosphate,EDC,1,1,NA
tcep tris(2-carboxyethyl)phosphine,EDC,1,1,NA
tcpp tris(1-chloro-2-propyl)phosphate,EDC,1,1,NA
tebufenocide,insecticide,1,1,NA
tio2 (np),other metals,1,1,NA
