A1,A1PRIME,A2,A3,A4,A5,ACCO11,ALDS16,ALEX16,ALINOR,ALKA11,ALOR16,ALTL16,ANDEF,ANSUM,A_WS,CA16,CATSUM,CL16,CO316,COLVAL,COND11,CONIS,CONVAL,COUNTY1,COUNTY2,COUNTY3,COUNTY4,DATSMP,DICE11,DICI11,DICVAL,DOC11,DO_IS,DRPCDE,ELEV,FE16,FTL16,GRADE,H16,HCO316,K16,L2,LABNAM,LAT_STD,LON_STD,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MG16,MN16,NA16,NH416,NO316,NODE,NOTSAM,OH16,ORGION,PHAC11,PHAL11,PHEQ11,PHSTVL,PH_CLO,PH_R,PTD16,PTL16,QUAD,RCH_HW,RCH_ID,RCH_LN,SAMCOD,SAMRN,SHRE75,SIO216,SIT_CLS,SO416,SOBC,STATE1,STATE2,STRA250,STRA75,STRATUM,STRMDP,STRMNAM,STRMWD,STRM_ID,SUB_ID,TIMSMP,TMPSTR,TURVAL,W,WC 
0.98,0.98,21.25,0,2.5639,54.9027,43.9,0.618931139,0.185308724,0.011118524,740.4,0.607812616,1.593655029,13.67916566,1176.559126,57.5757,848.3,1190.238291,166.1569,5.373496761,5,125,87,125.2,CHAUTAUQUA, , , ,23-Apr-86,9.22,9.37,8.943,1.87,11.2,0,410.5456,0.179083095,2.31616,0.60721721,0.012589254,721.5031406,18.48711,2.1081,NYSDOH,42.215,-79.09916667,"KENNEDY, NY 1979","CHERRY CREEK, NY 1954","HAMLET, NY 1954","GERRY, NY 1979", , ,205.65,0.054607012,116.58,1.208592,43.0671,L, ,0.794328235,18.53053177,7.58,7.56,7.75,7.9,.,8.24,0.08394137,.,BUFFALO 1962,4,1D022009,2.1725,R,1,19,56.08814327, ,237.348,1189.01711,NY, ,2,4,3,0.25,CLEAR CREEK,7,1D022009L,1D,12:25,10.5,1.2,65.30612245,1
0.98,0.98,21.25,0,2.5639,54.9027,36.2,0.333555704,0.088948188,0,1324.2,0.552219999,0.518864428,8.473526646,1789.925089,57.5701,1312.37,1798.398616,237.5282,8.315579285,10,186,118,187.6,CHAUTAUQUA, , , ,8-May-86,14.4,14.9,15.21,0.843,10.6,0,410.5456,0.125358166,2.42144,0.60721721,0.013803843,1224.260234,22.96186,2.1081,NYSDOH,42.215,-79.09916667,"KENNEDY, NY 1979","CHERRY CREEK, NY 1954","HAMLET, NY 1954","GERRY, NY 1979", , ,315.8784,0.054607012,146.16,1.014552,52.2612,L, ,0.72443596,8.369833642,7.73,7.73,8.29,7.86,.,7.98,0.132369084,.,BUFFALO 1962,4,1D022009,2.1725,R,2,19,27.79442114, ,264.414,1797.37026,NY, ,2,4,3,0.25,CLEAR CREEK,7,1D022009L,1D,7:05,8.7,0.37,65.30612245,1
0.98,0.98,21.25,0,2.5639,54.9027,42,0.678229931,0.222370469,0,763.1,0.778296642,1.37128456,38.3759689,1183.386392,55.0321,878.24,1221.762361,162.7717,3.705548335,10,126.4,89,121.4,CHAUTAUQUA, , , ,23-Apr-86,9.1,9.05,9.231,1.61,10.9,0,423.3465,0.214899714,2.42144,0.60721721,0.018620871,735.9252718,18.76838,2.1081,NYSDOH,42.22638889,-79.11555556,"KENNEDY, NY 1979","CHERRY CREEK, NY 1954","HAMLET, NY 1954","GERRY, NY 1979", , ,213.0534,0.091011686,110.49,1.19196,44.8414,U, ,0.537031796,15.96519219,7.63,7.65,7.84,7.73,.,7.92,0.10654097,.,BUFFALO 1962,4,1D022009,2.1725,R,1,19,51.26156714, ,233.184,1220.55178,NY, ,2,4,3,0.2,CLEAR CREEK,6,1D022009U,1D,13:25,10.5,0.8,65.30612245,1
0.98,0.98,21.25,0,2.5639,54.9027,54.1,0.359498925,0.170484026,0,1277,0.567044697,0.852420132,49.3959257,1770.053653,55.0321,1347.3,1819.449579,226.8084,4.35579794,10,180.2,113,182.2,CHAUTAUQUA, , , ,8-May-86,15.2,15.7,15.57,2.42,9.8,0,423.3465,0.089541547,2.31616,0.60721721,0.02630268,1221.937406,22.96186,2.1081,NYSDOH,42.22638889,-79.11555556,"KENNEDY, NY 1979","CHERRY CREEK, NY 1954","HAMLET, NY 1954","GERRY, NY 1979", , ,306.0072,0.036404674,142.245,0.909216,49.8417,U, ,0.380189396,24.03003558,7.74,7.73,8.23,7.58,.,7.69,0.041970685,.,BUFFALO 1962,4,1D022009,2.1725,R,2,19,36.6154051, ,264.414,1818.51406,NY, ,2,4,3,0.2,CLEAR CREEK,6,1D022009U,1D,6:15,9.8,0.35,65.30612245,1
18.47,18.47,0,0.90992278,45.2429,2.5639,91.5,0.574457045,0.111185235,0,1020.9,0.948780669,3.372618783,29.26138306,1537.181814,47.8373,1087.82,1566.443197,210.1645,4.606730178,15,162,97,142.4,CATTARAUGUS, , , ,23-Apr-86,12.5,12.9,12.33,3.07,11.8,0,386.4675,0.608882522,2.78992,1.061753903,0.019952623,980.3338762,25.8257,13.8075,NYSDOH,42.15611111,-78.96555556,"RANDOLPH, NY 1979","NEW ALBION, NY 1963", , , , ,282.1518,0.254832721,169.65,0.975744,53.5516,L, ,0.501187234,30.28361591,7.32,7.36,8.05,7.7,.,7.92,0.158197198,.,BUFFALO 1962,1,1D022010,14.4191,R,1,28,56.42101059, ,285.234,1565.4475,NY, ,1,4,1,0.2,ELM CREEK,7,1D022010L,1D,9:30,6.5,1.3,59.73895265,17.24028837
18.47,18.47,0,0.90992278,45.2429,2.5639,97.2,0.366911274,0.111185235,0,1449.6,0.607812616,0.815358387,51.63272294,2005.247629,47.8326,1427.14,2056.880352,249.6585,11.32801211,15,201.6,140,205,CATTARAUGUS, , , ,8-May-86,16.8,17.2,16.76,2.55,11.1,0,386.4675,0.393982808,3.05312,1.061753903,0.011220185,1355.610546,25.8257,13.8075,NYSDOH,42.15611111,-78.96555556,"RANDOLPH, NY 1979","NEW ALBION, NY 1963", , , , ,394.848,0.163821035,207.93,1.125432,47.4222,L, ,0.891250938,25.23799782,7.5,7.53,8.28,7.95,.,8.16,0.119455027,.,BUFFALO 1962,1,1D022010,14.4191,R,2,28,35.61680314, ,337.284,2055.7437,NY, ,1,4,1,0.2,ELM CREEK,7,1D022010L,1D,9:35,11.2,0.73,59.73895265,17.24028837
18.47,18.47,0,0.90992278,45.2429,2.5639,49.2,0.567044697,0.07412349,0,409.3,1.019197984,1.778963754,35.9691366,750.4646224,2.3567,588.82,786.433759,85.1942,0.77166662,10,84.4,53,83.8,CATTARAUGUS, , , ,23-Apr-86,4.79,4.56,5.245,2.27,11.2,0,533.0692,0.393982808,2.21088,1.061753903,0.047863009,393.9226462,10.33028,13.8075,NYSDOH,42.24472222,-78.91027778,"RANDOLPH, NY 1979","NEW ALBION, NY 1963", , , , ,123.39,0.145618697,63.075,0.770616,30.8083,U, ,0.208929613,22.36276771,7.26,7.29,7.82,7.32,.,7.37,0.071027313,.,BUFFALO 1962,1,1D022010,14.4191,R,1,1,37.11470608, ,237.348,785.61528,NY, ,1,1,1,0.15,ELM CREEK,2.5,1D022010U,1D,11:05,8,0.5,59.73895265,17.24028837
18.47,18.47,0,0.90992278,45.2429,2.5639,70.1,0.385442147,0.111185235,0,818.8,0.615224965,1.44540805,31.29841222,1123.718601,2.3567,898.2,1155.017014,80.1164,2.429213397,10,117.6,79,117.6,CATTARAUGUS, , , ,8-May-86,9.89,10.2,10.05,1.78,9.7,0,533.0692,0.537249284,2.52672,1.061753903,0.030199517,782.4325368,12.55487,13.8075,NYSDOH,42.24472222,-78.91027778,"RANDOLPH, NY 1979","NEW ALBION, NY 1963", , , , ,176.859,0.109214023,66.12,1.252944,16.4526,U, ,0.331131122,17.58969844,7.41,7.4,8.06,7.52,.,7.59,0.061341771,.,BUFFALO 1962,1,1D022010,14.4191,R,2,1,12.81539179, ,239.43,1153.73387,NY, ,1,1,1,0.15,ELM CREEK,2.5,1D022010U,1D,8:20,10.5,1.34,59.73895265,17.24028837
38.28,38.28,0,4.60953668,84.633,11.9646,70.2,0.366911274,0.259432214,0,410.6,0.807946038,8.30183085,15.98465528,838.6538541,99.1452,418.661,854.6385094,163.0538,1.02364102,15,92.1,52,90.6,ALLEGANY,CATTARAUGUS, , ,22-Apr-86,4.44,4.61,4.558,1.78,11.6,0,444.9863,1.432664756,3.10576,0.325550755,0.032359366,353.2880235,20.63499,15.9157,NYSDOH,42.05833333,-78.31472222,"PORTVILLE, NY 1961","BOLIVAR, NY 1965","CUBA, NY 1979","FRIENDSHIP, NY 1978", , ,211.4082,0.83730751,202.71,1.19196,18.0656,L, ,0.309029543,17.46414082,7.1,7.12,7.59,7.49,.,7.68,0.203396397,.,BUFFALO 1962,1,1D022022,16.0927,R,1,71,59.91611744, ,299.808,853.41419,NY, ,1,4,1,0.4,DODGE CREEK,16,1D022022L,1D,12:40,7,4,59.73895265,35.73136105
38.28,38.28,0,4.60953668,84.633,11.9646,90.2,0.71899785,0.407679194,0.100066711,706,0.618931139,6.078126158,45.10485194,1239.724371,99.1356,648.7,1284.829223,276.1759,2.113863287,5,133.6,102,131.8,ALLEGANY,CATTARAUGUS, , ,6-May-86,7.32,6.64,8.962,1.99,9.3,0,444.9863,3.241404012,3.79008,0.325550755,0.030902954,696.7197641,30.1726,15.9157,NYSDOH,42.05833333,-78.31472222,"PORTVILLE, NY 1961","BOLIVAR, NY 1965","CUBA, NY 1979","FRIENDSHIP, NY 1978", , ,304.362,2.166078124,300.15,1.41372,6.59717,L, ,0.323593657,19.60880228,7.27,7.22,8.14,7.51,.,7.57,0.21308194,.,BUFFALO 1962,1,1D022022,16.0927,R,2,71,23.467146, ,254.004,1283.3846,NY, ,1,4,1,0.4,DODGE CREEK,16,1D022022L,1D,11:30,14.8,5.2,59.73895265,35.73136105
