acsp,aisp_original,aisp,aisp_sd,id,mass_type,mass_units,eph_sp,ple_sp,tri_sp,chi_sp,other_sp,emerg,site_id,index,lon,lat,notes,stream_width_m,basin_size_km2,figure_table,ele_mean,r_mean,k_mean,bd_mean,cf_mean,ph05_mean,ph15_mean,lit_majority,min_mean,hybas_id,crop,forest_c,forest_o,nodata,shrub_grass,urban,water,tmp_dc_smx,pre_mm_syr,slp_dg_uav,ero_kh_uav,run_mm_syr,ppd_pk_uav,tmp_dc_syr,ele_mt_sav,dis_m3_pyr,for_pc_sse,crp_pc_sse,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,aisp_mean,mean_emergence_mgdmm2y,sd_emergence,mean_emergence_kgdmm2y,sd_emergence_kg,empirical_emergence
3452.4,811,811,0,1,DM,mg_m2_y,55.6,NA,NA,728.7,26.7,NA,Al-Zankana_2021_Control_2015,NA,-0.9099790000000001,52.476865,"River Welland, control reach, 2015 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,104.5941723,374.124363,0.029083215,1.342218673,36.4078125,67.83703704,67.18518519,9,NA,2121109130,77.67,0.16,5.48,0,6.77,9.92,0,168,631,22,834,319,137.5350037,94,115,2.874000072,0,67,251,281,224,258,NA,173.83081694465275,25.753378576062335,1.7383081694465275e-4,2.5753378576062337e-5,no
3056.3,846.4,846.4,0,2,DM,mg_m2_y,76.1,NA,NA,748.3,22,NA,Al-Zankana_2021_Control_2016,NA,-0.9099790000000001,52.476865,"River Welland, control reach, 2016 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,104.5941723,374.124363,0.029083215,1.342218673,36.4078125,67.83703704,67.18518519,9,NA,2121109130,77.67,0.16,5.48,0,6.77,9.92,0,168,631,22,834,319,137.5350037,94,115,2.874000072,0,67,251,281,224,258,NA,181.41849995308763,26.877508787643848,1.8141849995308764e-4,2.687750878764385e-5,no
11234.8,3574.9,3574.9,0,3,DM,mg_m2_y,2315,NA,NA,386.7,873.2,NA,Al-Zankana_2021_Ref_2015,NA,-0.972636,52.473637,"River Welland, reference reach, 2015 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,121.2453231,381.9605637,0.029109607,1.334861093,38.02083333,66.76923077,66.04895105,12,NA,2121110490,76.49,0.56,5.77,0,10.97,6.22,0,165,644,14,585,336,210.0939941,93,132,2.602999926,0,61,293,293,272,272,NA,766.2488131879644,113.52127382437145,7.662488131879643e-4,1.1352127382437145e-4,no
11562.1,4155.3,4155.3,0,4,DM,mg_m2_y,2653.1,NA,NA,418.8,1083.4,NA,Al-Zankana_2021_Ref_2016,NA,-0.972636,52.473637,"River Welland, reference reach, 2016 sampling. EPT values are combined in paper; entered here in EphSp column. Stream width is the average value of ranges provided (2.7-4.1 m).",3.4,1554,Table 2,121.2453231,381.9605637,0.029109607,1.334861093,38.02083333,66.76923077,66.04895105,12,NA,2121110490,76.49,0.56,5.77,0,10.97,6.22,0,165,644,14,585,336,210.0939941,93,132,2.602999926,0,61,293,293,272,272,NA,890.6525199138293,131.95192847979263,8.906525199138294e-4,1.3195192847979264e-4,no
13987.77777777778,NA,9410.960575516576,202.13806640485544,5,DM,mg_m2_y,NA,NA,NA,NA,NA,NA,Anderson_Rosemond_2007_MejillonesBeaverPond,NA,-67.65499999999999,-55.076,Measures beaver impact.,29.6,NA,"Table 3, Appendix 3",332.0220126,635.8678432,NA,1.187583339,21.43333321,57.86754967,58.43046358,12,NA,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0,9410.960575516576,2017.1577867767764,298.84590686273225,0.0020171577867767764,2.9884590686273226e-4,no
3004.444444444445,NA,2021.3867182617223,43.41737481600835,6,DM,mg_m2_y,NA,NA,NA,NA,NA,NA,Anderson_Rosemond_2007_MejillonesDownstream,NA,-67.65499999999999,-55.076,Measures beaver impact.,6.6,NA,"Table 3, Appendix 3",332.0220126,635.8678432,NA,1.187583339,21.43333321,57.86754967,58.43046358,12,NA,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0,2021.3867182617223,433.2667134358888,64.18931862394376,4.332667134358888e-4,6.418931862394376e-5,no
2728.888888888889,NA,1835.9932618531027,39.4353078950135,7,DM,mg_m2_y,NA,NA,NA,NA,NA,NA,Anderson_Rosemond_2007_MejillonesForested,NA,-67.65499999999999,-55.076,Forested site.,6.6,NA,"Table 3, Appendix 3",332.0220126,635.8678432,NA,1.187583339,21.43333321,57.86754967,58.43046358,12,NA,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0,1835.9932618531027,393.5292338012362,58.30213259630395,3.9352923380123623e-4,5.830213259630395e-5,no
8366.666666666668,NA,5629.083575632681,120.90711256085166,8,DM,mg_m2_y,NA,NA,NA,NA,NA,NA,Anderson_Rosemond_2007_RobaloBeaverPond,159,-67.65499999999999,-55.076,Measures beaver impact.,29.6,NA,"Table 3, Appendix 3",332.0220126,635.8678432,NA,1.187583339,21.43333321,57.86754967,58.43046358,12,NA,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0,5629.083575632681,1206.5452485844091,178.75205962954752,0.0012065452485844092,1.7875205962954754e-4,no
6252.222222222223,NA,4206.48781940041,90.35117163079843,9,DM,mg_m2_y,NA,NA,NA,NA,NA,NA,Anderson_Rosemond_2007_RobaloDownstream,160,-67.65499999999999,-55.076,Measures beaver impact.,6.6,NA,"Table 3, Appendix 3",332.0220126,635.8678432,NA,1.187583339,21.43333321,57.86754967,58.43046358,12,NA,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0,4206.48781940041,901.6241850975391,133.57740232874687,9.016241850975391e-4,1.3357740232874685e-4,no
2514.4444444444443,NA,1691.7152897286526,36.33636065407799,10,DM,mg_m2_y,NA,NA,NA,NA,NA,NA,Anderson_Rosemond_2007_RobaloForested,158,-67.65499999999999,-55.076,Forested site.,6.6,NA,"Table 3, Appendix 3",332.0220126,635.8678432,NA,1.187583339,21.43333321,57.86754967,58.43046358,12,NA,6120036110,0,28.96,0.17,0,67.74,0,3.13,84,559,96,2505,416,0.180000007,48,189,2.792000055,43,0,0,0,0,0,1691.7152897286526,362.60450166620416,53.72057250221328,3.6260450166620417e-4,5.372057250221328e-5,no
