site_date,sampling_method,sample,sampling_area,organism_group,body_weight_units,body_length_units,multiplier,total_mgdm_m2,insect_mgdm_m2,site_id,date,year
ARIK_2016-03-31,core,ARIK.20160331.CORE.1,0.006,macroinvertebrate,mg,mm,166.66666666666666,264.4894053665083,259.1693225413901,ARIK,2016-03-31,2016
ARIK_2016-03-31,core,ARIK.20160331.CORE.2,0.006,macroinvertebrate,mg,mm,166.66666666666666,73.59683659683792,34.653815408413095,ARIK,2016-03-31,2016
ARIK_2016-03-31,core,ARIK.20160331.CORE.3,0.006,macroinvertebrate,mg,mm,166.66666666666666,22.603732373425885,22.603732373425885,ARIK,2016-03-31,2016
ARIK_2016-03-31,modifiedKicknet,ARIK.20160331.KICKNET.1,0.25,macroinvertebrate,mg,mm,4,594.3592327329194,570.0940590837818,ARIK,2016-03-31,2016
ARIK_2016-03-31,modifiedKicknet,ARIK.20160331.KICKNET.2,0.25,macroinvertebrate,mg,mm,4,116.21142704784056,115.95606307223488,ARIK,2016-03-31,2016
ARIK_2016-03-31,modifiedKicknet,ARIK.20160331.KICKNET.3,0.25,macroinvertebrate,mg,mm,4,127.02731884634508,126.89963685854225,ARIK,2016-03-31,2016
ARIK_2016-03-31,modifiedKicknet,ARIK.20160331.KICKNET.4,0.25,macroinvertebrate,mg,mm,4,296.6420230323776,283.86737941595266,ARIK,2016-03-31,2016
ARIK_2016-03-31,modifiedKicknet,ARIK.20160331.KICKNET.5,0.25,macroinvertebrate,mg,mm,4,423.15640752860196,173.44249305565427,ARIK,2016-03-31,2016
ARIK_2016-07-13,core,ARIK.20160713.CORE.1,0.006,macroinvertebrate,mg,mm,166.66666666666666,3152.4904928635688,3152.4904928635688,ARIK,2016-07-13,2016
ARIK_2016-07-13,core,ARIK.20160713.CORE.2,0.006,macroinvertebrate,mg,mm,166.66666666666666,67786.84476892152,269.94610166655406,ARIK,2016-07-13,2016
ARIK_2016-07-13,core,ARIK.20160713.CORE.3,0.006,macroinvertebrate,mg,mm,166.66666666666666,4808.569159326317,307.3830901466899,ARIK,2016-07-13,2016
ARIK_2016-07-13,modifiedKicknet,ARIK.20160713.KICKNET.1,0.25,macroinvertebrate,mg,mm,4,26130.447906715868,126.65702620781424,ARIK,2016-07-13,2016
ARIK_2016-07-13,modifiedKicknet,ARIK.20160713.KICKNET.2,0.25,macroinvertebrate,mg,mm,4,8649.82849313525,79.54186806859917,ARIK,2016-07-13,2016
