Taxon,N,B,P
Elmidae,960(796-1129),412(351-482),2623(2167-3169)
Cinygmula sp.,253(190-325),142(108-180),790(610-979)
Serratella spp.,252(198-313),85(61-111),459(333-592)
Chironomidae,1145(868-1462),166(126-210),455(311-627)
Sweltsa spp.,211(156-271),66(47-91),420(276-636)
Acentrella sp.,753(565-943),51(40-62),361(275-455)
Drunella doddsi,71(55-88),58(41-76),295(293-298)
Elmidae (adult),50(40-58),38(30-46),260(204-320)
Rhyacophilidae,55(40-74),70(44-100),214(158-277)
Baetis spp.,276(203-365),26(20-34),190(136-248)
Classenia spp.,13(8-19),108(45-187),188(110-281)
Epeorus spp.,314(225-410),27(18-36),186(116-270)
Ephemerella sp.,80(58-105),31(22-40),175(123-228)
Perlodidae,30(17-46),15(9-23),110(61-167)
Barbaetis spp.,86(59-115),13(7-21),103(50-174)
Leptophlebiidae,193(135-262),15(11-19),93(67-119)
Simulidae,112(62-169),10(5-17),91(34-164)
Zapada spp.,75(46-109),15(9-23),88(52-129)
Ameletus spp.,35(17-63),10(6-15),78(41-127)
Hydropsychidae,10(5-16),31(15-50),57(34-84)
Pericoma spp.,159(124-197),8(6-11),49(36-66)
Drunella spp.,16(10-24),9(6-13),47(29-70)
Rhithrogena spp.,30(16-46),7(5-10),47(30-68)
Tipulidae,10(6-15),18(10-28),35(17-59)
Suwallia spp.,25(16-35),5(4-7),32(23-44)
Glossosomatidae,7(4-12),8(3-15),28(13-47)
Brachycentrus spp.,91(69-116),4(3-6),23(17-30)
Other,117(91-146),10(8-12),77(67-89)
Sum all taxa,5429(5016-5871),1458(1338-1587),7598(6979-8258)
