"© 2002, by the American Society of Limnology and Oceanography, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
"McCutchan, Jr., James H., and William M. Lewis, Jr. 2002. Relative importance of carbon sources for",,,,,,,,,,,,,,,,,,,,,,,,
macroinvertebrates in a Rocky Mountain stream. Limnol. Oceanogr. 47: 742-752.,,,,,,,,,,,,,,,,,,,,,,,,
Web Appendix 1.  Macroinvertebrate production (MP; units are mgDM m-2  yr-1) and the proportional,,,,,,,,,,,,,,,,,,,,,,,,
contribution of algal carbon to production (kalgal carbon) for taxa at each site.,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994-95,,1995-96,,,,,,ACSP,AISP,EphSP,PleSP,TriSP,ChiSP,otherSP,Units,Notes,Stream width (m),Basin size (km2),figure_table,,
Taxonomic group,,MP,kalgal carbon,MP,kalgal carbon,,,,,McCutchan_Lewis_2002_Alpine_9495,5780,,1810,407,711,1736,104,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Alpine site,,,,,,,,,,McCutchan_Lewis_2002_Alpine_9596,4710,,1353,545,86,1056,253,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Diptera:  Chironomidae,,1736,0.48,1056,0.5,,,,,McCutchan_Lewis_2002_Foothills_9495,,,,,,,,,,,,,,
Clinocera sp.,,54,0.43,107,0.51,,,,,McCutchan_Lewis_2002_Foothills_9596,,,,,,,,,,,,,,
Prosimuliium onychodactylum,,10,0.19,31,0.19,,,,,McCutchan_Lewis_2002_Montane_9495,,,,,,,,,,,,,,
Prosimuliium travisi,,40,0.19,115,0.19,,,,,McCutchan_Lewis_2002_Montane_9596,,,,,,,,,,,,,,
Ephemeroptera:  Baetis bicaudatus,,55,0.76,216,0.68,,,,,,,,,,,,,,,,,,,
Ameletus sp.,,284,0.63,775,0.74,,,,,,,,,,,,,,,,,,,
Cinygmula sp.,,1397,0.75,344,0.75,,,,,,,,,,,,,,,,,,,
Epeorus sp.,,74,0.55,18,0.56,,,,,,,,,,,,,,,,,,,
Plecoptera:  Suwallia sp.,,30,0.32,270,0.32,,,,,,,,,,,,,,,,,,,
Zapada oregonensis,,155,0.33,168,0.38,,,,,,,,,,,,,,,,,,,
Isoperla sp. 1,,153,0.38,15,0.38,,,,,,,,,,,,,,,,,,,
Megarcys signata,,69,0.7,92,0.7,,,,,,,,,,,,,,,,,,,
Trichoptera:  Rhyacophila hyalinata,,711,0.52,882,0.57,,,,,,,,,,,,,,,,,,,
Acarina,,77,0.72,86,0.72,,,,,,,,,,,,,,,,,,,
Other taxa,,1231,,557,,,,,,,,,,,,,,,,,,,,
,Total production,6076,,4732,,,,,,McCutchan_Lewis_2002_Subalpine_9495,4710,,729,749,255,1421,894,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Subalpine site,,,,,,,,,,McCutchan_Lewis_2002_Subalpine_9596,3330,,666,507,249,1090,450,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Diptera:  Chironomidae,,1421,0.47,1090,0.5,,,,,,,,,,,,,,,,,,,
Chelifera sp.,,11,0.62,6,0.62,,,,,,,,,,,,,,,,,,,
Clinocera sp.,,24,0.62,5,0.62,,,,,,,,,,,,,,,,,,,
Simuliidae,,859,0.1,439,0.14,,,,,,,,,,,,,,,,,,,
Ephemeroptera:  Baetis bicaudatus,,366,0.47,361,0.47,,,,,,,,,,,,,,,,,,,
Drunella doddsi,,170,0.22,106,0.26,,,,,,,,,,,,,,,,,,,
Cinygmula sp.,,115,0.27,111,0.27,,,,,,,,,,,,,,,,,,,
Epeorus sp.,,41,0.17,26,0.18,,,,,,,,,,,,,,,,,,,
Rithrogena robusta,,25,0.23,59,0.26,,,,,,,,,,,,,,,,,,,
Ameletus sp.,,12,0.35,3,0.28,,,,,,,,,,,,,,,,,,,
Plecoptera:  Sweltsa borealis,,112,0.29,68,0.27,,,,,,,,,,,,,,,,,,,
Zapada cinctipes,,365,0.31,151,0.39,,,,,,,,,,,,,,,,,,,
Zapada oregonensis,,149,0.17,120,0.32,,,,,,,,,,,,,,,,,,,
Hesperoperla pacifica,,123,0.35,168,0.39,,,,,,,,,,,,,,,,,,,
Trichoptera:  Agraylea sp.,,8,0.91,2,0.91,,,,,,,,,,,,,,,,,,,
Rhyacophila hyalinata,,51,0.19,103,0.24,,,,,,,,,,,,,,,,,,,
Rhyacophila wallowa,,196,0.32,144,0.35,,,,,,,,,,,,,,,,,,,
Turbellaria,,63,0.27,12,0.27,,,,,,,,,,,,,,,,,,,
Other taxa,,602,,360,,,,,,,,,,,,,,,,,,,,
