taxon,insects,insect order,mean annual g m-2 AFDM,,,,,
Oligochaeta,n,,,,,,,
,,,,,,,,
Naididae,n,,0.004,,,,,
,,,,,,,,
Lumbriculus variegatus (Muller),n,,0.006,,,,insect,4.6
,,,,,,,non_insect,1.5
Eiseniella tetraedra (Savigny),n,,0.268,,,,total,6.1
,,,,,,,,
Oligochaeta indent,n,,0.004,,,,eph,0.1
Hirudinea,n,,,,,,ple,0.2
,,,,,,,tri,2.2
Glossiphonia complanata (L.),n,,0.131,,,,chi,0.6
Crustacea,n,,,,,,other,1.4
,,,,,,,,
Gammarus pulex L.,n,,1.06,,,,,
Mollusca,n,,,,,,,
,,,,,,,,
Pisidium sp.,n,,0.012,,,,,
Plecoptera,y,,,,,,,
,y,,,,,,,
Leuctra nigra Olivier,y,,0.114,,,,,
,y,,,,,,,
Nemoura cinerea Retzius,y,,0.014,,,,,
,y,,,,,,,
Nemoura flexuosa Aubert,y,,0.102,,,,,
,y,,,,,,,
Amphinemura sp.,y,,0.015,,,,,
Ephemeroptera,y,,,,,,,
,y,,,,,,,
Baetis rhodani Pictet,y,,0.136,,,,,
Coleoptera,y,,,,,,,
,y,,,,,,,
Helodes minuta L.,y,,0.018,,,,,
Colymbetinae,y,,0.001,,,,,
richoptera,y,,,,,,,
Rhyacophila fasciata Hagen,y,,0.129,,,,,
,y,,,,,,,
Plectrocnemia conspersa (Curtis),y,,0.056,,,,,
,y,,,,,,,
Sericostoma personatum Spence,y,,0.861,,,,,
,y,,,,,,,
Ecclisopteryx dalecarlica Kolenati,y,,0.002,,,,,
,y,,,,,,,
Potamophylax sp.,y,,1.14,,,,,
,y,,,,,,,
Limnephelidae,y,,0.059,,,,,
Diptera,y,,,,,,,
,y,,,,,,,
Hemerodromia sp.,y,,0.054,,,,,
,y,,,,,,,
Brachycera,y,,0.033,,,,,
,y,,,,,,,
Ptychoptera sp.,y,,0.177,,,,,
,y,,,,,,,
,y,,,,,,,
Pericoma sp.,y,,0.004,,,,,
,y,,,,,,,
Tipula sp.,y,,0.737,,,,,
,y,,,,,,,
Dicranota sp.,y,,0.106,,,,,
,y,,,,,,,
Limnophila sp.,y,,0.012,,,,,
,y,,,,,,,
Molophilus sp.,y,,0.009,,,,,
,y,,,,,,,
Ormosia sp.,y,,0.008,,,,,
,y,,,,,,,
Hexatominae,y,,0.021,,,,,
,y,,,,,,,
Diptera indent,y,,0.001,,,,,
,y,,,,,,,
Simulium costatum,y,,0.008,,,,,
Simulium cambriense Davies,y,,0.001,,,,,
,y,,,,,,,
Odagmia ornata Meigen,y,,0.17,,,,,
Chironomidae,y,,,,,,,
,y,,,,,,,
Ceratopogonidae,y,,,,,,,
,y,,,,,,,
Glyptotendipes sp.,y,,0.002,,,,,
,y,,,,,,,
Micropsectra sp.,y,,0.028,,,,,
,y,,,,,,,
Macropelopia sp.,y,,0.007,,,,,
,y,,,,,,,
Thinemannimyia group,y,,0.009,,,,,
,y,,,,,,,
Diamesa insignipes Kieffer,y,,0.034,,,,,
,y,,,,,,,
Prodiamesa olivacea (Meigen),y,,0.242,,,,,
,y,,,,,,,
Brillia modesta (Meigen),y,,0.204,,,,,
,y,,,,,,,
Eukiefferiella hospita Edwards,y,,0.022,,,,,
,y,,,,,,,
Eukiefferiella sp.,y,,0.003,,,,,
,y,,,,,,,
Rheocricotopus fuscipes group,y,,0.068,,,,,
,y,,,,,,,
Limnophyes sp.,y,,0.001,,,,,
,y,,,,,,,
Pseudoorthocladius sp.,y,,0.023,,,,,
,y,,,,,,,
Orthocladiinae,y,,0.003,,,,,
