SiteID,LON,LAT,ACSP,NISP,AISP_mgAFDM_m2_y,bio1_mat,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12_precip,bio13,bio14,bio15,bio16,bio17,bio18,bio19,clb
Benke_EtAl_1984_SatillaRiver_Downstream,-81.86705245,31.13370081,14853.63655,5301,9552.637,194,127,43,5904,330,41,289,266,159,266,115,1310,178,63,34,497,214,497,274,C
Benke_EtAl_1984_SatillaRiver_Upstream,-82.36945158,31.28086455,27694.80141,7641,20053.801,193,135,44,6137,339,36,303,269,154,269,111,1251,165,67,31,456,217,456,293,C
Benke_Wallace_2015_OgeecheeRiver_1982,-81.40861031,32.15179641,53744.68192,162,53582.682,190,121,40,6371,332,35,297,269,150,269,105,1231,163,54,33,453,195,453,258,V
Carlisle_Clements_2003_HighZinc_Snake,-105.8610812,39.57099706,35.16319715,0,35.163,-16,130,37,7631,169,-176,345,-38,-6,85,-108,712,73,43,16,206,149,186,171,V
Carlisle_Clements_2003_IntermediateZinc_Mosquito,-106.0759951,39.27012084,1548.434965,0,1548.435,1,150,40,7850,199,-176,375,99,13,104,-94,515,62,32,22,164,109,161,112,V
Carlisle_Clements_2003_LowZinc_Buckskin,-106.0702235,39.28268994,2061.1101,0,2061.11,1,150,40,7850,199,-176,375,99,13,104,-94,515,62,32,22,164,109,161,112,C
Carlisle_Clements_2003_Reference1_EastFork,-106.2116312,39.35466134,4027.898279,0,4027.898,-15,134,37,7703,174,-179,353,83,-2,87,-106,632,65,39,16,176,135,171,155,C
Carlisle_Clements_2003_Reference2_FourMile,-106.0827221,39.20055888,4689.119013,0,4689.119,2,152,40,7924,200,-179,379,100,-41,105,-95,500,62,32,23,164,106,161,106,C
Chadwick_Huryn_2005_EBB_Yr1,-68.13548671,44.89459884,1682.439328,53.6,1628.839,57,116,29,9545,253,-143,396,14,176,176,-72,1178,131,84,14,351,258,258,305,V
Chadwick_Huryn_2005_EBB_Yr2,-68.13548671,44.89459884,2271.055545,114.6,2156.456,57,116,29,9545,253,-143,396,14,176,176,-72,1178,131,84,14,351,258,258,305,C
Chadwick_Huryn_2005_WBB_N_Yr1,-68.14040746,44.88576608,1654.0796,79.4,1574.68,57,116,29,9545,253,-143,396,14,176,176,-72,1178,131,84,14,351,258,258,305,V
Chadwick_Huryn_2005_WBB_N_Yr2,-68.14040746,44.88576608,2282.439258,162.3,2120.139,57,116,29,9545,253,-143,396,14,176,176,-72,1178,131,84,14,351,258,258,305,C
Chadwick_Huryn_2007_BB,-68.12199024,44.88296955,2000.19509,88.32,1911.875,58,116,29,9529,253,-142,395,15,177,177,-71,1175,131,83,14,351,255,255,305,C
Chadwick_Huryn_2007_ED,-68.1277338,44.88617015,2190.751687,1104.53,1086.222,57,116,29,9545,253,-143,396,14,176,176,-72,1178,131,84,14,351,258,258,305,C
Chadwick_Huryn_2007_SWP,-68.10995053,44.88194758,2889.965953,1016.66,1873.306,58,116,29,9529,253,-142,395,15,177,177,-71,1175,131,83,14,351,255,255,305,C
Chadwick_Huryn_2007_WD,-68.12782915,44.88193966,2090.168576,1913.44,176.729,57,116,29,9545,253,-143,396,14,176,176,-72,1178,131,84,14,351,258,258,305,C
Cross_EtAl_2006_C53_Reference,-83.45023052,35.06050988,7692.491483,4993,2699.491,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,C
Cross_EtAl_2006_C54_NP_Enriched,-83.44970385,35.0605515,16780.95682,6976,9804.957,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,V
Cross_EtAl_2011_Site1_GlenCanyon_Yr1,-111.4849153,36.93981621,28339.16361,13394,14945.164,151,142,35,9297,367,-38,405,262,198,272,32,105,14,5,26,34,18,30,27,C
Cross_EtAl_2013_ColoradoRiver_Site2,-111.850814,36.50990072,10239.41737,1139.1,9100.317,132,159,39,8578,348,-51,399,237,173,244,24,189,27,7,31,63,29,54,48,C
Cross_EtAl_2013_ColoradoRiver_Site3,-111.8123631,36.17037047,1435.114621,283.5,1151.615,144,167,40,8674,363,-45,408,249,186,257,34,179,27,6,34,64,26,53,43,V
Cross_EtAl_2013_ColoradoRiver_Site4,-112.4977607,36.28896541,1084.636297,158.9,925.736,136,170,43,8067,350,-43,393,236,172,242,36,259,37,9,32,87,37,74,67,C
Cross_EtAl_2013_ColoradoRiver_Site5,-112.8596697,36.72044221,2221.63791,380.5,1841.138,129,167,42,7994,343,-48,391,46,163,235,30,305,39,10,29,93,45,78,85,C
Cross_EtAl_2013_ColoradoRiver_Site6,-113.3611535,35.77389711,1600.385793,248.2,1352.186,183,173,43,8276,398,-2,400,286,219,292,80,175,25,4,38,60,20,47,48,C
Entrekin_EtAl_2009_ShaneCreek_AfterWood,-88.90896972,46.47806358,1185.594956,2.666666667,1182.928,45,130,30,10557,264,-169,433,174,-83,174,-98,785,99,27,37,276,105,276,105,C
Entrekin_EtAl_2009_StateCreek_AfterWood,-88.90393594,46.42127695,3330.907272,11,3319.907,42,129,29,10598,261,-172,433,172,-102,172,-102,807,101,28,36,282,108,282,108,C
Entrekin_EtAl_2009_WaltonCreek_AfterWood,-88.90262446,46.44169037,1496.673114,60.33333333,1436.34,42,129,29,10598,261,-172,433,172,-102,172,-102,807,101,28,36,282,108,282,108,V
Fisher_1977_FortRiver,-72.51874476,42.35792481,3019.963427,0,3019.963,85,125,32,9251,280,-110,390,134,-27,200,-40,1103,99,77,7,291,248,289,252,C
Gaines_EtAl_1992_DouglasCreek,-120.0098751,47.61393713,21120.51242,0,21120.512,75,122,32,8723,284,-90,374,-30,181,186,-38,279,43,9,42,117,36,44,105,C
Gaines_EtAl_1992_RattlesnakeSprings,-119.7222751,46.46601593,14883.37355,0,14883.374,108,132,37,7824,309,-43,352,12,203,209,8,193,30,5,42,81,23,26,71,C
