rowname,FEOW_ID,AREA_SKM,area_m,units,q2.5,q25,q50,q75,q97.5
1,101,990699.7,7683005137.96284,kgdmm2y,114542.77998601692,1147035.9729568786,2756907.443831137,5755698.8797759265,19344593.80503469
2,102,572690,4223401208.84414,kgdmm2y,62964.96055521081,630533.6294566495,1515491.1420552726,3163947.592131115,10633857.376600068
3,103,927260.6,3928384889.77641,kgdmm2y,58566.68296454665,586489.102021941,1409629.871434654,2942937.0543685453,9891052.867720753
4,104,630669,3820870846.31502,kgdmm2y,56963.80008155142,570437.7688217445,1371050.4013688976,2862393.250427399,9620349.482554346
5,105,1089035.8,9375542982.93036,kgdmm2y,139776.1341895944,1399723.7896258943,3364244.0393386222,7023658.226844769,23606136.8500556
6,106,580809.8,6506719572.23025,kgdmm2y,97006.01978125144,971422.1559494665,2334818.6421179106,4874488.286862172,16382892.483843612
7,107,223720.7,303306000.041603,kgdmm2y,4521.865052457317,45282.13721247441,108835.87271621409,227220.7259165854,763676.6166461756
8,108,317721.2,1618309030.16929,kgdmm2y,24126.70717557471,241605.80913750685,580700.9277721042,1212351.0663883795,4074646.60995206
9,109,643607.2,4662521509.73217,kgdmm2y,69511.62544854547,696092.1931344778,1673061.520379473,3492913.169860542,11739492.957949674
10,110,997304.4,13482254316.8024,kgdmm2y,201001.41314424478,2012836.1780616988,4837863.130138752,10100187.970022552,33946187.54659218
11,111,891808.8,9113007319.19118,kgdmm2y,135862.09739928014,1360528.4689036696,3270037.8644582536,6826980.468786481,22945113.50265794
12,112,1347214.9,4422074990.95254,kgdmm2y,65926.90668233084,660194.6762566463,1586781.6356776634,3312783.424541526,11134086.589724872
13,113,1093120.3,8659924385.19575,kgdmm2y,129107.26932196633,1292885.3507886394,3107457.247762733,6487554.82884287,21804322.21581794
14,114,263985.6,3359325216.71391,kgdmm2y,50082.80513809036,501531.21067073976,1205433.0994061898,2516627.8089682558,8458250.464423291
15,115,129059.3,795051889.316655,kgdmm2y,11853.103310511564,118697.44989593222,285289.9916802967,595610.5959232717,2001815.1200708565
16,116,767004.7,1952862324.84001,kgdmm2y,29114.425358361987,291553.01820058824,700749.3270473514,1462980.6037613275,4916998.980584102
17,117,387065,6052403088.01317,kgdmm2y,90232.80120840848,903594.8746777971,2171795.388234553,4534138.536690674,15238995.312320808
18,118,360067.2,2724255111.41435,kgdmm2y,40614.8047865623,406718.27705330146,977549.6775919988,2040867.0580622558,6859244.215678541
19,119,57256.4,7559988.77652546,kgdmm2y,112.70877938732171,1128.6702177221562,2712.7652473247244,5663.541563594959,19034.858030992185
20,120,256937.3,3445997685.3036,kgdmm2y,51374.969508963884,514470.9962822472,1236533.9472566564,2581558.2133362223,8676478.054909028
21,121,321537.6,1074715447.47571,kgdmm2y,16022.492870598853,160449.8834519783,385642.20170907123,805119.6616476538,2705963.801154789
22,122,92737.1,433210138.267881,kgdmm2y,6458.5526970618375,64676.20462566013,155449.62335538838,324537.9981871459,1090754.7250758593
