terr_biom,median_region,mgDMm2y,.lower,.upper,.width,.point,.interval,center_interval
Tropical & Subtropical Moist Broadleaf,832.9687702156164,832.9687702156164,176.90030489503988,2461.463370454601,0.95,median,qi,833 (177 to 2461)
Tropical & Subtropical Dry Broadleaf,1523.6145989732638,1523.6145989732638,582.17173034566,2443.7961153764722,0.95,median,qi,1524 (582 to 2444)
Tropical & Subtropical Conifers,1670.1556683611368,1670.1556683611368,805.8324424435433,2747.247994281478,0.95,median,qi,1670 (806 to 2747)
Temperate Broadleaf & Mixed,1569.1721721693307,1569.1721721693307,623.0405521172688,3213.285775020202,0.95,median,qi,1569 (623 to 3213)
Temperate Conifers,1120.9126226663311,1120.9126226663311,520.2915804905404,3640.130061261003,0.95,median,qi,1121 (520 to 3640)
Boreal Forests/Taiga,689.9611669174383,689.9611669174383,463.50058370109224,1259.3307423741035,0.95,median,qi,690 (464 to 1259)
"Tropical & Subtropical Grasslands, Savannas",1538.932093591316,1538.932093591316,824.6061502280613,2293.7568228643895,0.95,median,qi,1539 (825 to 2294)
"Temperate Grasslands, Savannas",1801.0175606868472,1801.0175606868472,768.5169048821252,4090.927274449532,0.95,median,qi,1801 (769 to 4091)
Flooded Grasslands & Savannas,1502.4604302278854,1502.4604302278854,789.6768141701654,2227.898334444212,0.95,median,qi,1502 (790 to 2228)
Montane Grasslands & Shrublands,1065.2073835019123,1065.2073835019123,580.6424515810493,3929.028009533157,0.95,median,qi,1065 (581 to 3929)
Tundra,612.369086170064,612.369086170064,441.0881276244967,893.5888195650693,0.95,median,qi,612 (441 to 894)
Mediterranean Forests,1400.1191501474354,1400.1191501474354,802.3933027258063,2486.2009742212804,0.95,median,qi,1400 (802 to 2486)
Deserts & Xeric,1590.112529248614,1590.112529248614,806.1153401401925,3767.5333671856206,0.95,median,qi,1590 (806 to 3768)
Mangroves,692.9366662875343,692.9366662875343,135.39969930770732,2021.193393595287,0.95,median,qi,693 (135 to 2021)
