region_name,n_basins,units,median_kgdm_peryear,mean_kgdm_peryear
Australia,74540,kgC_peryear,95.06819188928972,287.3708767634208
Africa,190790,kgC_peryear,100.40840022144958,297.867312228887
Europe,121774,kgC_peryear,152.9132599866311,509.4425328185321
Arctic (North America),40782,kgC_peryear,153.35558846613716,407.4012382621889
North America,119428,kgC_peryear,176.29931366592166,474.59084036681463
Siberia,96848,kgC_peryear,197.81779225900513,597.1401337404113
South America,131765,kgC_peryear,229.97660217739113,681.7839593372248
Asia,142610,kgC_peryear,271.55850288372164,862.5787174663238
Australia,74540,kgN_peryear,15.090189188776147,45.61442488308267
Africa,190790,kgN_peryear,15.937841304991998,47.28052575061699
Europe,121774,kgN_peryear,24.271946029623983,80.8638940981797
Arctic (North America),40782,kgN_peryear,24.34215689938685,64.66686321622046
North America,119428,kgN_peryear,27.98401804220979,75.33187942330392
Siberia,96848,kgN_peryear,31.39964956492145,94.78414821276371
South America,131765,kgN_peryear,36.50422256783986,108.21967608527379
Asia,142610,kgN_peryear,43.1045242672574,136.91725674068633
Africa,190790,kgPUFA_peryear,2.1079187989434198e-6,6.108614845503337e-6
Australia,74540,kgPUFA_peryear,2.189806639358133e-6,6.594802828709153e-6
Europe,121774,kgPUFA_peryear,3.501535206706872e-6,1.1596206279748125e-5
Arctic (North America),40782,kgPUFA_peryear,3.5251198997634746e-6,9.289442610448914e-6
North America,119428,kgPUFA_peryear,4.194743502020898e-6,1.13929853259786e-5
Siberia,96848,kgPUFA_peryear,4.206496678263723e-6,1.2723741017895059e-5
South America,131765,kgPUFA_peryear,4.8926617978176544e-6,1.4651003707588828e-5
Asia,142610,kgPUFA_peryear,5.508802374300784e-6,1.7672309521028897e-5
Australia,74540,kgP_peryear,0.7666789668491106,2.3175070706727485
Africa,190790,kgP_peryear,0.8097451630762063,2.4021557437813468
Europe,121774,kgP_peryear,1.2331714515050893,4.108407522730097
Arctic (North America),40782,kgP_peryear,1.2367386166623966,3.2854938569531362
North America,119428,kgP_peryear,1.4217686585961424,3.82734548682915
Siberia,96848,kgP_peryear,1.5953047762822994,4.815646239842027
South America,131765,kgP_peryear,1.854650017559606,5.4982577365905225
Asia,142610,kgP_peryear,2.1899879264816264,6.956279979567127
Australia,74540,kgdm_peryear,211.26264864286603,638.6019483631574
Africa,190790,kgdm_peryear,223.12977826988794,661.9273605086378
Europe,121774,kgdm_peryear,339.8072444147357,1132.0945173745156
Arctic (North America),40782,kgdm_peryear,340.7901965914159,905.3360850270864
North America,119428,kgdm_peryear,391.776252590937,1054.6463119262546
Siberia,96848,kgdm_peryear,439.59509390890025,1326.978074978692
South America,131765,kgdm_peryear,511.05911594975805,1515.0754651938328
Asia,142610,kgdm_peryear,603.4633397416037,1916.8415943696084
