,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,lower,upper,models
0 ± 0,0.0,0.0,529.77,24.23,95.77,7.93,-1059.53,48.46,0.00,0.00,s(precip_s) + (1 | author_year) + (1 | HYBAS_ID)
-1.8 ± 2.4,-1.8,2.4,527.93,24.53,97.06,8.28,-1055.86,49.07,-6.73,3.06,s(stream_temp_s) + (1 | author_year) + (1 | HYBAS_ID)
-2.3 ± 3.3,-2.3,3.3,527.46,24.73,97.43,8.53,-1054.92,49.46,-8.90,4.29,"s(precip_s, stream_temp_s) + (1 | author_year) + (1 | HYBAS_ID)"
-2.4 ± 2.7,-2.4,2.7,527.41,24.69,100.85,9.29,-1054.82,49.38,-7.75,3.04,(1 | author_year) + (1 | HYBAS_ID)
-2.9 ± 2.9,-2.9,2.9,526.84,24.65,99.20,8.63,-1053.68,49.29,-8.67,2.82,s(precip_s) + s(stream_temp_s) + (1 | author_year) + (1 | HYBAS_ID)
-3.5 ± 2.3,-3.5,2.3,526.24,24.51,100.88,8.93,-1052.49,49.03,-8.10,1.05,s(hft_ix_s93_s) + (1 | author_year) + (1 | HYBAS_ID)
-3.6 ± 3.9,-3.6,3.9,526.18,24.30,99.54,8.90,-1052.36,48.59,-11.35,4.18,s(hft_ix_u93_s) + (1 | author_year) + (1 | HYBAS_ID)
-5.2 ± 3.7,-5.2,3.7,524.59,24.32,99.96,8.81,-1049.18,48.64,-12.60,2.24,s(hft_ix_s09_s) + (1 | author_year) + (1 | HYBAS_ID)
-5.3 ± 3.5,-5.3,3.5,524.48,24.36,101.50,9.07,-1048.96,48.71,-12.28,1.70,s(hft_ix_u09_s) + (1 | author_year) + (1 | HYBAS_ID)
-5.6 ± 4,-5.6,4.0,524.19,24.54,101.62,9.32,-1048.38,49.08,-13.58,2.43,s(ele_mt_sav_s) + (1 | author_year) + (1 | HYBAS_ID)
-6.7 ± 4.1,-6.7,4.1,523.11,24.58,101.43,9.05,-1046.21,49.15,-14.80,1.47,s(logdis_m3_pyr_s) + (1 | author_year) + (1 | HYBAS_ID)
-7 ± 4.2,-7.0,4.2,522.73,24.41,102.45,9.09,-1045.46,48.83,-15.47,1.40,s(for_pc_sse_s) + (1 | author_year) + (1 | HYBAS_ID)
-7.7 ± 4.1,-7.7,4.1,522.07,24.62,103.55,9.73,-1044.14,49.25,-15.89,0.49,s(crp_pc_sse_s) + (1 | author_year) + (1 | HYBAS_ID)
-8.6 ± 4.2,-8.6,4.2,521.20,24.13,92.77,7.85,-1042.40,48.25,-17.04,-0.09,s(stream_temp_s) + s(crp_pc_sse_s) + (1 | author_year) + (1 | HYBAS_ID)
-9.7 ± 5.5,-9.7,5.5,520.07,25.13,105.90,10.19,-1040.14,50.26,-20.62,1.23,s(stream_temp_s) + s(crp_pc_sse_s) + s(for_pc_sse_s) + (1 | author_year) + (1 | HYBAS_ID)
